N_Contact;Date;Agent_ID;Durée_Traitement_Sec;Status;Note_Satisfaction_Client;Montant Facture;Canal;Sujet;Appel traité;Appel repris;Conforme;NPS;Réclamation
CNT-70068;03/01/2023;AG007;248;Résolu;3;17,84;Téléphone;Facturation;Non;Non;Oui;5;Non
CNT-70069;13/07/2023;AG005;261;Résolu;5;10,02;Téléphone;Résiliation;Oui;Non;Oui;3;Non
CNT-70070;11/12/2023;AG006;200;En Attente;5;44,63;Téléphone;Litige paiement;Oui;Oui;Oui;;Non
CNT-70071;26/03/2023;AG004;303;Non Résolu;5;35,38;Réseaux Sociaux;Réclamation;yes;Non;Oui;;Non
CNT-70072;19/06/2023;AG002;202;Résolu;4;34,73;Chat;Demande d'information;Oui;Non;Oui;0;Oui
CNT-70073;24/09/2023;AG004;214;Résolu;5;45,93;Téléphone;Déménagement;Non;Non;Non Renseigné;;Non
CNT-70074;29/07/2023;AG004;169;Résolu;4;33,08;Téléphone;Litige paiement;Oui;Non;Oui;10;Non
CNT-70075;10/11/2023;AG001;390;En Attente;3;21,74;Réseaux Sociaux;Souscription contrat;Non;Oui;Non Renseigné;6;Non
CNT-70076;03/08/2023;AG004;133;Résolu;;34,34;Chat;Relevé compteur;Oui;Non;Oui;;Non
CNT-70077;25/01/2023;AG009;448;Non Résolu;4;23,01;Téléphone;Changement d'offre;Oui;Non;Oui;6;Oui
CNT-70078;10/01/2023;AG009;251;Résolu;4;47,15;Téléphone;Souscription contrat;Oui;Non;Non;10;Non
CNT-70079;25/02/2023;AG007;223;Non Résolu;4;34,68;Chat;Demande d'information;Oui;Oui;Non;;Non
CNT-70080;17/02/2023;AG005;169;Résolu;3;21,18;Réseaux Sociaux;Litige paiement;Oui;Oui;Oui;9;Non
CNT-70081;17/04/2023;AG009;178;Résolu;1;32,67;Réseaux Sociaux;Demande d'information;Oui;Non;Oui;;Non
CNT-70082;20/09/2023;AG002;201;En Attente;5;38,42;Téléphone;Panne compteur;Oui;Non;Oui;4;Non
CNT-70083;28/02/2023;AG003;564;Résolu;4;21,98;Réseaux Sociaux;Panne compteur;Oui;Non;Oui;6;Non
CNT-70084;22/12/2023;AG004;201;Non Résolu;5;41,09;Téléphone;Facturation;Non;Non;Oui;9;Non
CNT-70085;20/04/2023;AG002;310;Résolu;4;36,22;Téléphone;Facturation;Oui;Non;Oui;10;Non
CNT-70086;26/11/2023;AG003;239;Non Résolu;;36,35;Téléphone;Panne compteur;Oui;Non;Oui;10;Non
CNT-70087;14/09/2023;AG007;458;Non Résolu;4;12,27;Email;Litige paiement;Oui;Non;Oui;6;Non
CNT-70088;20/01/2023;AG008;284;En Attente;4;39,32;Réseaux Sociaux;Déménagement;Oui;Oui;Oui;10;Oui
CNT-70089;22/12/2023;AG009;147;Non Résolu;2;12,13;Réseaux Sociaux;Réclamation;Oui;Non;Oui;6;Non
CNT-70090;06/08/2023;AG007;216;Non Résolu;4;39,4;Réseaux Sociaux;Facturation;Oui;Non;Oui;9;Non
CNT-70091;23/06/2023;AG007;504;En Attente;3;22,46;Téléphone;Réclamation;Oui;Non;Non Renseigné;;Non
CNT-70092;27/02/2023;AG005;345;En Attente;3;48,18;Réseaux Sociaux;Résiliation;Oui;Non;Non Renseigné;;Non
CNT-70093;26/03/2023;AG004;258;Non Résolu;4;47,01;Téléphone;Déménagement;Oui;Non;Oui;;Non
CNT-70094;16/09/2023;AG008;173;Non Résolu;;21,2;Téléphone;Changement d'offre;Oui;Oui;Oui;;Non
CNT-70095;13/11/2023;AG001;183;En Attente;3;27,09;Téléphone;Résiliation;Oui;Non;Oui;8;Non
CNT-70096;07/03/2023;AG001;159;Résolu;5;34,45;Téléphone;Changement d'offre;Non;Non;Oui;10;Non
CNT-70097;25/04/2023;AG007;111;En Attente;5;40,26;Email;Déménagement;Oui;Oui;Oui;10;Non
CNT-70098;20/08/2023;AG004;338;Résolu;4;10,32;Réseaux Sociaux;Litige paiement;Oui;Non;Oui;;Non
CNT-70099;29/04/2023;AG004;318;Non Résolu;5;10,96;Réseaux Sociaux;Panne compteur;Oui;Non;Oui;;Non
CNT-70100;22/06/2023;AG003;276;Non Résolu;;32,7;Email;Réclamation;Oui;Non;Oui;7;Non
CNT-70101;18/07/2023;AG007;406;Résolu;3;11,16;Email;Panne compteur;Oui;Non;Oui;;Non
CNT-70102;09/02/2023;AG004;334;Résolu;4;44,23;Téléphone;Réclamation;Oui;Oui;Oui;8;Non
CNT-70103;24/11/2023;AG003;127;En Attente;;46,6;Téléphone;Changement d'offre;Oui;Non;Oui;;Non
CNT-70104;16/01/2023;AG004;569;Non Résolu;;43,16;Téléphone;Résiliation;Oui;Non;Oui;8;Non
CNT-70105;22/04/2023;AG005;262;Résolu;4;31,04;Téléphone;Changement d'offre;Oui;Non;Non;9;Non
CNT-70106;14/06/2023;AG001;351;En Attente;3;41,39;Chat;Relevé compteur;Oui;Non;Oui;;Non
CNT-70107;29/08/2023;AG008;263;Résolu;1;46,27;Chat;Litige paiement;Oui;Oui;Non Renseigné;7;Non
CNT-70108;08/01/2023;AG007;273;En Attente;4;43,54;Réseaux Sociaux;Résiliation;Oui;Non;Oui;1;Non
CNT-70109;02/08/2023;AG002;109;Résolu;4;13,56;Email;Panne compteur;Oui;Non;Oui;3;Non
CNT-70110;16/03/2023;AG009;204;En Attente;4;42,13;Chat;Déménagement;Non;Non;Oui;;Non
CNT-70111;02/05/2023;AG004;311;Résolu;;34,09;Téléphone;Changement d'offre;Non;Non;Oui;9;Non
CNT-70112;01/02/2023;AG003;247;Non Résolu;5;36,96;Téléphone;Réclamation;Oui;Non;Oui;;Oui
CNT-70113;18/04/2023;AG001;121;Résolu;4;34,99;Réseaux Sociaux;Relevé compteur;Oui;Non;Oui;;Non
CNT-70114;15/03/2023;AG005;349;Résolu;4;30,29;Chat;Facturation;Oui;Non;Non;10;Non
CNT-70115;14/05/2023;AG003;243;Non Résolu;5;29,74;Email;Souscription contrat;Oui;Non;Oui;;Non
CNT-70116;20/06/2023;AG002;271;Résolu;3;41,95;Chat;Litige paiement;Oui;Oui;Oui;6;Oui
CNT-70117;13/08/2023;AG007;128;En Attente;4;17,83;Téléphone;Résiliation;Oui;Non;Oui;9;Non
CNT-70118;08/04/2023;AG006;99;Résolu;;40,15;Email;Réclamation;Oui;Non;Non;7;Non
CNT-70119;02/12/2023;AG002;276;Résolu;3;32,14;Téléphone;Panne compteur;Oui;Non;Oui;4;Non
CNT-70120;16/04/2023;AG006;391;Résolu;;31,52;Téléphone;Souscription contrat;Oui;Non;Oui;;Non
CNT-70121;13/06/2023;AG006;346;En Attente;1;24,76;Téléphone;Facturation;Oui;Non;Non;7;Non
CNT-70122;28/11/2023;AG008;330;Non Résolu;;26,08;Téléphone;Panne compteur;Oui;Non;Oui;10;Non
CNT-70123;18/09/2023;AG001;285;Non Résolu;4;21,89;Téléphone;Changement d'offre;Oui;Non;Oui;7;Non
CNT-70124;23/06/2023;AG004;143;Résolu;4;12,02;Téléphone;Facturation;Oui;Non;Non;7;Non
CNT-70125;06/07/2023;AG009;58;Non Résolu;;29,44;Réseaux Sociaux;Relevé compteur;Non;Non;Non;8;Non
CNT-70126;22/12/2023;AG003;522;Non Résolu;4;23,88;Téléphone;Panne compteur;Oui;Oui;Oui;1;Non
CNT-70127;17/11/2023;AG003;243;En Attente;5;34,14;Téléphone;Litige paiement;Oui;Non;Oui;;Non
CNT-70128;23/07/2023;AG008;206;Résolu;;48,74;Chat;Litige paiement;Oui;Oui;Oui;;Non
CNT-70129;25/09/2023;AG002;269;Non Résolu;;37,94;Email;Demande d'information;Oui;Non;Non Renseigné;7;Non
CNT-70130;02/02/2023;AG004;169;Non Résolu;5;14,88;Téléphone;Changement d'offre;Oui;Non;Oui;7;Non
CNT-70131;11/07/2023;AG005;217;Résolu;;15,88;Téléphone;Déménagement;Oui;Non;Oui;8;Non
CNT-70132;09/04/2023;AG008;445;Non Résolu;5;42,95;Réseaux Sociaux;Litige paiement;Oui;Non;Non Renseigné;;Non
CNT-70133;10/09/2023;AG004;297;Non Résolu;3;41,45;Téléphone;Souscription contrat;Oui;Non;Oui;;Non
CNT-70134;25/08/2023;AG007;321;Résolu;3;38,65;Email;Déménagement;Oui;Non;Oui;5;Oui
CNT-70135;11/07/2023;AG002;251;En Attente;;11,9;Email;Changement d'offre;Non;Non;Oui;;Non
CNT-70136;27/02/2023;AG007;375;Non Résolu;5;46,14;Email;Relevé compteur;Oui;Non;Oui;5;Non
CNT-70137;22/03/2023;AG006;372;En Attente;3;24,29;Chat;Litige paiement;Oui;Non;Non;10;Oui
CNT-70138;03/12/2023;AG001;240;Non Résolu;4;22,62;Réseaux Sociaux;Relevé compteur;Oui;Non;Oui;1;Non
CNT-70139;16/01/2023;AG005;263;Résolu;4;11,55;Téléphone;Relevé compteur;Oui;Non;Oui;6;Non
CNT-70140;11/12/2023;AG005;394;Non Résolu;1;17,46;Chat;Panne compteur;Oui;Oui;Oui;;Non
CNT-70141;18/06/2023;AG008;269;En Attente;;30,63;Chat;Changement d'offre;Oui;Non;Oui;4;Non
CNT-70142;26/05/2023;AG002;229;Non Résolu;4;29,95;Email;Changement d'offre;Non;Non;Oui;;Non
CNT-70143;24/12/2023;AG005;235;Non Résolu;4;12,25;Réseaux Sociaux;Relevé compteur;Oui;Oui;Oui;10;Non
CNT-70144;20/12/2023;AG009;217;Résolu;2;13,38;Téléphone;Facturation;Oui;Non;Oui;9;Non
CNT-70145;01/11/2023;AG006;267;Résolu;5;31,55;Email;Panne compteur;Oui;Non;Oui;7;Non
CNT-70146;17/06/2023;AG005;220;En Attente;2;32,51;Email;Souscription contrat;Non;Non;Non;4;Non
CNT-70147;16/07/2023;AG009;267;Non Résolu;4;43,38;Téléphone;Souscription contrat;Oui;Non;Oui;;Non
CNT-70148;04/10/2023;AG009;193;Non Résolu;;33,29;Réseaux Sociaux;Relevé compteur;Oui;Oui;Oui;;Non
CNT-70149;08/05/2023;AG002;299;Résolu;5;36,56;Email;Réclamation;Oui;Non;Oui;;Non
CNT-70150;23/02/2023;AG007;314;En Attente;4;34,97;Email;Résiliation;Oui;Non;Non;7;Non
CNT-70151;27/05/2023;AG001;332;Résolu;5;36,82;Chat;Réclamation;Oui;Oui;Oui;;Non
CNT-70152;08/05/2023;AG007;316;Résolu;;22,44;Téléphone;Facturation;Oui;Non;Oui;;Non
CNT-70153;18/10/2023;AG007;366;Non Résolu;;;Téléphone;Réclamation;Oui;Non;Oui;;Non
CNT-70154;30/04/2023;AG006;341;Résolu;5;9,7;Chat;Réclamation;Oui;Non;Oui;;Oui
CNT-70155;26/04/2023;AG003;234;Résolu;4;37,65;Téléphone;Demande d'information;Oui;Non;Non;2;Non
CNT-70156;02/01/2023;AG009;262;En Attente;2;49,75;Email;Résiliation;Oui;Oui;Oui;10;Non
CNT-70157;29/06/2023;AG009;266;Résolu;3;37,19;Téléphone;Relevé compteur;Oui;Oui;Oui;;Non
CNT-70158;06/11/2023;AG003;216;Résolu;4;21,8;Réseaux Sociaux;Demande d'information;Non;Non;Oui;;Non
CNT-70159;28/05/2023;AG006;85;Résolu;3;20,01;Téléphone;Litige paiement;Oui;Non;Non Renseigné;9;Non
CNT-70160;09/04/2023;AG008;63;En Attente;5;;Chat;Litige paiement;Oui;Non;Oui;10;Non
CNT-70161;18/04/2023;AG005;148;Non Résolu;1;34,97;Téléphone;Demande d'information;Oui;Non;Oui;;Non
CNT-70162;31/05/2023;AG004;201;Non Résolu;4;17,76;Téléphone;Facturation;Oui;Non;Oui;10;Non
CNT-70163;17/11/2023;AG001;350;En Attente;3;36,34;Téléphone;Souscription contrat;Oui;Non;Non;;Non
CNT-70164;06/05/2023;AG002;328;Résolu;5;9,65;Chat;Demande d'information;Oui;Non;Oui;;Non
CNT-70165;28/09/2023;AG009;288;Résolu;4;43,97;Email;Litige paiement;Oui;Non;Oui;7;Non
CNT-70166;06/09/2023;AG003;493;Résolu;4;12,75;Email;Déménagement;Oui;Non;Oui;;Non
CNT-70167;19/12/2023;AG004;300;Résolu;4;26,74;Chat;Relevé compteur;Oui;Non;Oui;5;Non
CNT-70168;15/02/2023;AG009;185;Non Résolu;;29,67;Réseaux Sociaux;Litige paiement;Non;Non;Non Renseigné;;Non
CNT-70169;21/05/2023;AG002;177;Résolu;3;42,31;Chat;Changement d'offre;Oui;Non;Oui;7;Non
CNT-70170;26/05/2023;AG009;316;En Attente;4;31,12;Téléphone;Souscription contrat;Oui;Non;Oui;8;Oui
CNT-70171;12/08/2023;AG003;411;Résolu;4;26,52;Téléphone;Déménagement;Oui;Non;Oui;;Non
CNT-70172;30/01/2023;AG005;265;En Attente;4;19,41;Chat;Résiliation;Oui;Non;Oui;8;Non
CNT-70173;05/02/2023;AG007;303;En Attente;4;;Téléphone;Réclamation;Oui;Non;Oui;;Non
CNT-70174;22/04/2023;AG008;315;Non Résolu;4;30,44;Chat;Résiliation;Oui;Non;Oui;8;Non
CNT-70175;25/06/2023;AG009;124;Non Résolu;5;9,32;Chat;Résiliation;Non;Oui;Oui;;Non
CNT-70176;07/02/2023;AG004;312;Résolu;5;36,14;Téléphone;Résiliation;Oui;Non;Oui;7;Non
CNT-70177;08/08/2023;AG001;345;Résolu;4;11,82;Email;Panne compteur;Oui;Oui;Oui;4;Oui
CNT-70178;29/04/2023;AG005;317;Résolu;4;44,37;Téléphone;Panne compteur;Oui;Non;Non;6;Non
CNT-70179;05/10/2023;AG007;241;En Attente;5;20,71;Réseaux Sociaux;Souscription contrat;Oui;Non;Oui;;Non
CNT-70180;01/07/2023;AG008;242;En Attente;4;23,59;Réseaux Sociaux;Litige paiement;Oui;Non;Oui;7;Oui
CNT-70181;02/08/2023;AG002;140;Résolu;5;36,97;Email;Demande d'information;Oui;Non;Oui;9;Non
CNT-70182;10/05/2023;AG003;250;En Attente;5;;Téléphone;Déménagement;Oui;Non;Oui;7;Non
CNT-70183;01/02/2023;AG006;292;En Attente;5;11,55;Réseaux Sociaux;Changement d'offre;Non;Oui;Oui;9;Non
CNT-70184;27/04/2023;AG002;273;Résolu;1;47,61;Téléphone;Demande d'information;Oui;Non;Oui;;Non
CNT-70185;25/01/2023;AG003;296;En Attente;4;17,19;Chat;Changement d'offre;Non;Non;Oui;;Non
CNT-70186;26/12/2023;AG003;258;Non Résolu;3;27,48;Réseaux Sociaux;Litige paiement;Oui;Non;Oui;1;Non
CNT-70187;04/10/2023;AG007;201;Non Résolu;5;22,59;Téléphone;Relevé compteur;Oui;Non;Non;7;Non
CNT-70188;15/11/2023;AG007;162;Résolu;1;39,11;Chat;Réclamation;Oui;Non;Non;;Non
CNT-70189;21/12/2023;AG002;306;Résolu;;38,81;Email;Facturation;Non;Non;Oui;;Oui
CNT-70190;01/07/2023;AG001;335;Résolu;5;15,85;Téléphone;Relevé compteur;Oui;Oui;Oui;;Non
CNT-70191;26/08/2023;AG006;246;Résolu;4;19,96;Réseaux Sociaux;Relevé compteur;Oui;Non;Oui;;Non
CNT-70192;27/01/2023;AG002;109;Non Résolu;4;15,72;Email;Changement d'offre;Oui;Oui;Oui;7;Non
CNT-70193;06/12/2023;AG009;359;Non Résolu;5;10,65;Email;Relevé compteur;Oui;Non;Non;;Non
CNT-70194;16/10/2023;AG005;242;En Attente;2;19,13;Réseaux Sociaux;Réclamation;Oui;Non;Oui;;Non
CNT-70195;14/11/2023;AG007;135;Résolu;4;19,62;Téléphone;Panne compteur;Oui;Oui;Non;;Non
CNT-70196;19/04/2023;AG001;264;Résolu;5;38,9;Téléphone;Résiliation;Oui;Oui;Oui;8;Non
CNT-70197;14/01/2023;AG009;366;En Attente;3;10,46;Téléphone;Résiliation;Oui;Non;Oui;9;Oui
CNT-70198;12/05/2023;AG006;225;Résolu;4;16,64;Téléphone;Litige paiement;Oui;Non;Non Renseigné;8;Non
CNT-70199;10/09/2023;AG005;34;Résolu;5;13,93;Téléphone;Réclamation;Oui;Non;Oui;;Non
CNT-70200;31/05/2023;AG007;237;Résolu;4;48,29;Téléphone;Panne compteur;Oui;Non;Oui;;Non
CNT-70201;23/03/2023;AG007;197;Non Résolu;;12,41;Email;Réclamation;Oui;Non;Oui;9;Non
CNT-70202;03/10/2023;AG008;281;Résolu;5;49,11;Téléphone;Litige paiement;Oui;Non;Oui;8;Non
CNT-70203;14/02/2023;AG008;266;Non Résolu;5;28,32;Chat;Souscription contrat;Oui;Non;Non Renseigné;;Non
CNT-70204;31/05/2023;AG005;217;Résolu;;45,47;Téléphone;Changement d'offre;Oui;Non;Oui;;Non
CNT-70205;21/11/2023;AG004;211;Non Résolu;3;46,38;Téléphone;Relevé compteur;Oui;Non;Non;5;Non
CNT-70206;15/02/2023;AG002;398;Non Résolu;3;39,34;Téléphone;Relevé compteur;Oui;Non;Oui;2;Non
CNT-70207;08/08/2023;AG005;315;En Attente;4;36,13;Email;Déménagement;Oui;Oui;Oui;;Non
CNT-70208;22/06/2023;AG009;312;Résolu;5;30,89;Téléphone;Litige paiement;Oui;Non;Oui;7;Non
CNT-70209;19/11/2023;AG003;352;Résolu;4;18,72;Téléphone;Litige paiement;Oui;Non;Oui;;Non
CNT-70210;23/02/2023;AG007;241;En Attente;2;21,09;Téléphone;Déménagement;Oui;Non;Non;8;Non
CNT-70211;26/06/2023;AG007;427;Résolu;2;41,88;Téléphone;Résiliation;Oui;Non;Non Renseigné;;Non
CNT-70212;21/10/2023;AG005;297;Non Résolu;5;15,78;Chat;Demande d'information;Oui;Oui;Oui;8;Non
CNT-70213;07/05/2023;AG006;276;Non Résolu;4;35,62;Téléphone;Souscription contrat;Oui;Non;Oui;;Non
CNT-70214;06/01/2023;AG006;296;Résolu;3;13,08;Réseaux Sociaux;Facturation;Oui;Non;Oui;;Non
CNT-70215;18/11/2023;AG003;237;En Attente;5;35,9;Téléphone;Panne compteur;Oui;Non;Oui;0;Non
CNT-70216;28/01/2023;AG005;201;Résolu;4;48,12;Réseaux Sociaux;Réclamation;Oui;Non;Oui;;Non
CNT-70217;07/12/2023;AG002;377;En Attente;3;43,88;Email;Souscription contrat;Non;Non;Non;;Non
CNT-70218;15/09/2023;AG007;154;Résolu;4;45,49;Réseaux Sociaux;Souscription contrat;Oui;Non;Oui;;Non
CNT-70219;03/12/2023;AG004;162;En Attente;4;48,65;Chat;Panne compteur;Oui;Non;Oui;;Non
CNT-70220;16/03/2023;AG008;254;Résolu;4;31,48;Téléphone;Souscription contrat;Oui;Oui;Oui;;Oui
CNT-70221;10/08/2023;AG006;182;En Attente;;12,81;Chat;Déménagement;Non;Non;Oui;6;Non
CNT-70222;10/02/2023;AG004;109;Résolu;4;30,98;Téléphone;Litige paiement;Oui;Non;Oui;;Non
CNT-70223;10/12/2023;AG005;159;Résolu;5;36,11;Téléphone;Facturation;Oui;Non;Oui;;Non
CNT-70224;24/09/2023;AG001;185;Résolu;5;42,33;Réseaux Sociaux;Déménagement;Oui;Non;Non Renseigné;;Non
CNT-70225;06/04/2023;AG003;301;En Attente;3;36,82;Téléphone;Litige paiement;Non;Oui;Oui;7;Non
CNT-70226;03/04/2023;AG006;247;En Attente;4;45,65;Chat;Litige paiement;Oui;Non;Oui;8;Oui
CNT-70227;02/12/2023;AG002;357;En Attente;5;44,5;Email;Demande d'information;yes;Non;Oui;;Non
CNT-70228;18/06/2023;AG008;56;En Attente;3;47,25;Chat;Panne compteur;Oui;Oui;Non Renseigné;10;Oui
