Reference_Dossier;Date;ID Agent;Durée_Traitement_Sec;Dossier_Cloture;Note_Satisfaction_Client;Prix_Prestation;Type_Contact;Objet;Traite;Appel Repris;Conforme;NPS;Réclammation
DOS50179;16/06/2023;AG011;402;Non;4;24,86;Courrier;Déménagement;Oui;Non;Oui;;Oui
DOS50180;30/12/2023;AG019;474;Oui;2;38,29;Chat;Souscription contrat;Non;Non;Oui;;Non
DOS50181;19/08/2023;AG012;204;Non;5;19,68;Chat;Relevé compteur;Non;Non;Oui;;Oui
DOS50182;29/11/2023;AG025;240;Non;5;30,03;Courrier;Changement d'offre;Oui;Non;Non;6;Non
DOS50183;24/05/2023;AG025;42;Oui;4;19,67;Chat;Relevé compteur;Non;Non;Oui;6;Non
DOS50184;06/09/2023;AG019;318;Non;5;32,7;Email;Panne compteur;Non;Oui;Oui;;Oui
DOS50185;23/06/2023;AG019;324;Non;3;41,24;Email;Réclamation;Oui;Non;Oui;;Non
DOS50186;09/03/2023;AG003;348;Oui;;46,36;Courrier;Changement d'offre;Oui;Non;Oui;7;Non
DOS50187;21/10/2023;AG012;114;Oui;4;13,56;Téléphone;Souscription contrat;Non;Non;Oui;10;Non
DOS50188;08/04/2023;AG007;306;Oui;2;27,45;Courrier;Résiliation;Non;Non;Oui;0;Non
DOS50189;22/06/2023;AG019;354;Oui;4;24,59;Email;Résiliation;Oui;Non;Oui;;Non
DOS50190;09/04/2023;AG008;372;Non;5;53,08;Email;Souscription contrat;Oui;Non;Oui;;Non
DOS50191;21/10/2023;AG008;246;Non;5;29,79;Courrier;Réclamation;Oui;Non;Oui;7;Oui
DOS50192;14/12/2023;AG025;558;Non;4;30,7;Email;Réclamation;Non;Non;Oui;7;Non
DOS50193;03/10/2023;AG011;288;Oui;5;36,03;Courrier;Résiliation;Oui;Non;Non Renseigné;7;Non
DOS50194;30/07/2023;AG003;330;Non;;14,27;Courrier;Changement d'offre;Oui;Non;Oui;8;Oui
DOS50195;20/12/2023;AG008;270;Oui;4;47,13;Téléphone;Changement d'offre;Oui;Non;Non;1;Oui
DOS50196;04/12/2023;AG011;246;Oui;3;25,92;Courrier;Réclamation;Oui;Non;Oui;7;Non
DOS50197;30/12/2023;AG012;390;Non;3;32,7;Email;Souscription contrat;Oui;Non;Non Renseigné;5;Oui
DOS50198;29/04/2023;AG003;120;Non;3;37,48;Téléphone;Facturation;Oui;Non;Oui;;Non
DOS50199;03/01/2023;AG025;396;Non;4;24,8;Email;Résiliation;Non;Non;Oui;9;Non
DOS50200;14/04/2023;AG003;324;Oui;;53,34;Email;Souscription contrat;Non;Non;Oui;;Oui
DOS50201;16/11/2023;AG019;294;Oui;5;30,36;Téléphone;Souscription contrat;Oui;Non;Oui;10;Non
DOS50202;09/04/2023;AG003;168;Non;;35,69;Email;Panne compteur;Non;Non;Non;8;Oui
DOS50203;18/01/2023;AG025;318;Non;;18,22;Courrier;Litige paiement;Non;Non;Non;5;Oui
DOS50204;28/01/2023;AG008;390;Oui;3;20,42;Email;Demande d'information;Oui;Non;Non;;Oui
DOS50205;02/04/2023;AG012;330;Oui;5;44,88;Courrier;Relevé compteur;Non;Non;Oui;9;Non
DOS50206;04/01/2023;AG019;306;Oui;5;16,76;Chat;Relevé compteur;Non;Non;Oui;;Oui
DOS50207;20/12/2023;AG012;282;Oui;5;27,16;Téléphone;Changement d'offre;Oui;Non;Non;9;Oui
DOS50208;23/10/2023;AG025;258;Non;;29,95;Email;Panne compteur;Oui;Non;Non;8;Oui
DOS50209;11/04/2023;AG019;180;Oui;;24,93;Téléphone;Déménagement;Oui;Oui;Non;8;Oui
DOS50210;13/08/2023;AG003;390;Oui;2;29,23;Chat;Changement d'offre;Oui;Non;Oui;0;Non
DOS50211;01/03/2023;AG008;342;Non;1;20,27;Courrier;Réclamation;Non;Non;Non;;Non
DOS50212;07/12/2023;AG003;396;Non;5;36,58;Courrier;Panne compteur;Oui;Non;Non;;Oui
DOS50213;06/04/2023;AG007;258;Oui;5;31,57;Téléphone;Facturation;Oui;Non;Non Renseigné;9;Oui
DOS50214;04/07/2023;AG008;294;Non;3;23,98;Courrier;Relevé compteur;Oui;Non;Oui;;Non
DOS50215;16/04/2023;AG019;174;Non;5;52,56;Courrier;Facturation;Non;Non;Oui;9;Non
DOS50216;12/04/2023;AG012;126;Non;5;29,66;Chat;Souscription contrat;Oui;Non;Oui;1;Oui
DOS50217;18/05/2023;AG019;324;Oui;;49,7;Email;Panne compteur;Non;Oui;Oui;;Oui
DOS50218;16/11/2023;AG012;66;Oui;;20,94;Email;Relevé compteur;Oui;Non;Oui;8;Non
DOS50219;03/07/2023;AG007;354;Non;;46,41;Email;Réclamation;Non;Non;Non;;Oui
DOS50220;17/06/2023;AG003;240;Oui;4;21,35;Chat;Souscription contrat;Non;Oui;Oui;;Non
DOS50221;02/06/2023;AG012;582;Oui;5;26,37;Courrier;Demande d'information;Oui;Non;Non;8;Non
DOS50222;27/06/2023;AG007;318;Oui;3;29,23;Téléphone;Panne compteur;Oui;Oui;Non;8;Non
DOS50223;19/10/2023;AG011;378;Non;3;34,42;Email;Réclamation;Oui;Non;Oui;9;Oui
DOS50224;18/09/2023;AG025;234;Non;4;19,68;Courrier;Relevé compteur;Non;Non;Oui;;Oui
DOS50225;26/04/2023;AG019;450;Oui;5;37,15;Chat;Réclamation;Oui;Non;Non;8;Non
DOS50226;28/08/2023;AG012;462;Oui;5;49,93;Téléphone;Résiliation;Oui;Non;Oui;8;Oui
DOS50227;05/09/2023;AG012;426;Non;5;27,96;Chat;Facturation;Oui;Non;Oui;;Non
DOS50228;02/08/2023;AG011;552;Non;3;40,65;Email;Changement d'offre;Non;Oui;Non;1;Oui
DOS50229;21/11/2023;AG003;186;Oui;2;35,5;Email;Souscription contrat;Non;Non;Oui;9;Oui
DOS50230;04/08/2023;AG007;390;Non;4;46,56;Téléphone;Litige paiement;Non;Oui;Oui;;Oui
DOS50231;16/12/2023;AG019;222;Oui;4;35,78;Courrier;Changement d'offre;Non;Non;Oui;7;Oui
DOS50232;09/03/2023;AG007;192;Non;;15,61;Courrier;Litige paiement;Non;Non;Oui;6;Oui
DOS50233;17/04/2023;AG012;306;Non;4;26,6;Téléphone;Relevé compteur;Oui;Non;Non Renseigné;8;Oui
DOS50234;21/09/2023;AG007;342;Non;5;45,7;Email;Réclamation;Non;Non;Oui;8;Non
DOS50235;26/08/2023;AG007;300;Non;;40,38;Courrier;Demande d'information;Non;Non;Non;;Oui
DOS50236;08/04/2023;AG007;162;Non;4;54,07;Téléphone;Résiliation;Oui;Non;Non Renseigné;7;Oui
DOS50237;01/11/2023;AG007;318;Oui;1;28,13;Téléphone;Résiliation;Non;Non;Oui;3;Non
DOS50238;27/08/2023;AG012;312;Oui;3;49,58;Chat;Souscription contrat;Oui;Non;Non Renseigné;;Oui
DOS50239;16/09/2023;AG003;192;Oui;3;50,15;Téléphone;Panne compteur;Oui;Non;Non;;Oui
DOS50240;25/11/2023;AG008;486;Oui;2;46,96;Email;Changement d'offre;Oui;Non;Oui;;Non
DOS50241;01/07/2023;AG011;540;Non;5;45,81;Email;Réclamation;Non;Non;Non Renseigné;0;Oui
DOS50242;17/11/2023;AG012;330;Non;5;53,61;Email;Résiliation;Non;Non;Oui;8;Non
DOS50243;07/02/2023;AG007;426;Non;5;54,83;Email;Changement d'offre;Non;Non;Non;8;Oui
DOS50244;09/10/2023;AG007;18;Oui;5;38,36;Email;Facturation;Non;Oui;Oui;4;Non
DOS50245;03/08/2023;AG007;312;Oui;5;14,41;Chat;Demande d'information;Non;Non;Oui;8;Oui
DOS50246;06/12/2023;AG007;444;Non;3;21,18;Chat;Réclamation;Oui;Non;Oui;;Oui
DOS50247;24/12/2023;AG012;312;Oui;4;30,33;Téléphone;Relevé compteur;Oui;Non;Oui;;Oui
