IdTicket;DateTicket;Agent;Duree_Traitement_Sec;Resolu;Note_Satisfaction_Client;CoutFacturation;Canal;Motif;Traite;Reprise_Appel;Conforme;NPS;Motif_Reclamation
TCK20018;07/01/2023;AG008;414;Oui;2,5;15,2;Réseaux Sociaux;Réclamation;Non;Non;Non;9;Non Renseigné
TCK20019;07/11/2023;AG005;330;Non;4;58,12;Chat;Souscription contrat;Oui;Oui;Oui;5;Non Renseigné
TCK20020;24/11/2023;AG008;234;Non;1,5;51,14;Chat;Panne compteur;Non;Non;Oui;6;Non Renseigné
TCK20021;08/05/2023;AG008;330;Oui;5;;Téléphone;Demande d'information;Oui;Non;Non;8;Erreur technique
TCK20022;19/02/2023;AG007;36;Non;2;25,72;Réseaux Sociaux;Souscription contrat;Oui;Non;Oui;8;Délai de traitement
TCK20023;08/11/2023;AG006;414;Non;;39,05;Téléphone;Relevé compteur;Non;Non;Non Renseigné;;Non Renseigné
TCK20024;09/01/2023;AG007;204;Non;;41,46;Réseaux Sociaux;Relevé compteur;Oui;Non;Non;;Non Renseigné
TCK20025;30/01/2023;AG006;438;Oui;3,5;44,97;Chat;Déménagement;Non;Non;Oui;;Facturation incorrecte
TCK20026;13/09/2023;AG008;252;Oui;;52,99;Chat;Changement d'offre;Non;Non;Oui;9;Non Renseigné
TCK20027;18/02/2023;AG008;276;Oui;4,5;32,91;Chat;Souscription contrat;Non;Oui;Oui;10;Non Renseigné
TCK20028;23/11/2023;AG003;174;Oui;1;34,15;Téléphone;Déménagement;Oui;Non;Oui;6;Non Renseigné
TCK20029;02/09/2023;AG004;180;Non;;54,34;Téléphone;Souscription contrat;Non;Non;Oui;7;Non Renseigné
TCK20030;15/08/2023;AG005;420;Oui;2;14,84;Email;Souscription contrat;Oui;Non;Oui;8;Non Renseigné
TCK20031;31/07/2023;AG003;198;Oui;2;33,8;Chat;Souscription contrat;Oui;Non;Oui;;Non Renseigné
TCK20032;17/11/2023;AG001;270;Oui;2;21,68;Téléphone;Facturation;Non;Non;Oui;8;Non Renseigné
TCK20033;08/12/2023;AG004;108;Oui;4,5;30,48;Email;Résiliation;Oui;Non;Oui;;Non Renseigné
TCK20034;12/05/2023;AG006;342;Non;;21,41;Téléphone;Panne compteur;Non;Non;Oui;;Non Renseigné
TCK20035;07/09/2023;AG007;348;Oui;2,5;56,11;Téléphone;Déménagement;Oui;Oui;Oui;9;Non Renseigné
TCK20036;25/11/2023;AG002;84;Non;2;35,1;Chat;Litige paiement;Oui;Non;Non Renseigné;;Non Renseigné
TCK20037;01/09/2023;AG002;414;Non;;40,25;Chat;Relevé compteur;Oui;Non;Non;;Non Renseigné
TCK20038;25/05/2023;AG005;198;Non;;;Téléphone;Facturation;Non;Oui;Non;5;Non Renseigné
TCK20039;27/03/2023;AG001;576;Non;2,5;35,25;Réseaux Sociaux;Demande d'information;Oui;Oui;Oui;9;Non Renseigné
TCK20040;01/08/2023;AG006;318;Oui;3;;Email;Résiliation;Non;Non;Oui;;Non Renseigné
TCK20041;06/07/2023;AG001;222;Oui;2,5;37,09;Téléphone;Résiliation;Oui;Oui;Non;6;Comportement agent
TCK20042;26/09/2023;AG008;306;Non;5;56,62;Téléphone;Résiliation;Oui;Non;Oui;1;Non Renseigné
TCK20043;20/10/2023;AG003;216;Non;5;57,37;Réseaux Sociaux;Souscription contrat;Oui;Non;Oui;;Comportement agent
TCK20044;15/10/2023;AG001;168;Non;;35,92;Réseaux Sociaux;Souscription contrat;Non;Non;Oui;;Non Renseigné
TCK20045;14/10/2023;AG007;234;Non;;15,63;Téléphone;Souscription contrat;Non;Non;Oui;;Non Renseigné
TCK20046;02/12/2023;AG005;210;Oui;4,5;;Email;Résiliation;Non;Non;Non;9;Délai de traitement
TCK20047;21/09/2023;AG004;108;Oui;3,5;29,16;Téléphone;Panne compteur;Non;Oui;Oui;;Non Renseigné
TCK20048;07/07/2023;AG004;246;Oui;3;18,54;Chat;Déménagement;Oui;Non;Non;;Non Renseigné
TCK20049;08/08/2023;AG008;426;Oui;5;23,36;Email;Changement d'offre;Oui;Non;Non;2;Non Renseigné
TCK20050;12/11/2023;AG002;144;Non;4,5;40,58;Téléphone;Réclamation;Non;Non;Oui;10;Non Renseigné
TCK20051;05/04/2023;AG007;276;Oui;;38,29;Réseaux Sociaux;Souscription contrat;Oui;Non;Oui;8;Non Renseigné
TCK20052;11/02/2023;AG008;300;Oui;;55,61;Chat;Changement d'offre;Oui;Non;Oui;8;Erreur technique
TCK20053;24/12/2023;AG006;288;Non;5;57,3;Réseaux Sociaux;Déménagement;Oui;Oui;Oui;5;Non Renseigné
TCK20054;14/07/2023;AG003;210;Oui;4;25,11;Chat;Changement d'offre;Oui;Oui;Non Renseigné;10;Non Renseigné
TCK20055;30/11/2023;AG008;228;Non;3,5;54,75;Téléphone;Demande d'information;Non;Non;Non;10;Non Renseigné
TCK20056;23/08/2023;AG007;252;Non;;32,12;Téléphone;Résiliation;Oui;Non;Oui;;Non Renseigné
TCK20057;12/12/2023;AG001;270;Oui;;12,3;Réseaux Sociaux;Réclamation;Oui;Non;Non;3;Non Renseigné
TCK20058;22/03/2023;AG004;54;Oui;;33,67;Chat;Changement d'offre;Non;Non;Non;10;Non Renseigné
TCK20059;06/04/2023;AG008;330;Non;4,5;40,66;Chat;Souscription contrat;Oui;Non;Oui;;Non Renseigné
TCK20060;07/08/2023;AG007;312;Oui;2;31,7;Réseaux Sociaux;Réclamation;Non;Oui;Oui;8;Non Renseigné
TCK20061;25/11/2023;AG005;360;Oui;1,5;50,97;Téléphone;Demande d'information;Non;Non;Oui;4;Non Renseigné
TCK20062;27/05/2023;AG002;78;Oui;4;12,35;Email;Résiliation;Non;Oui;Oui;5;Non Renseigné
TCK20063;23/02/2023;AG007;300;Oui;5;43,43;Chat;Déménagement;Oui;Non;Oui;10;Non Renseigné
TCK20064;08/04/2023;AG004;258;Non;4,5;50,62;Réseaux Sociaux;Panne compteur;Oui;Non;Non;8;Non Renseigné
TCK20065;24/08/2023;AG005;288;Non;;52,67;Téléphone;Déménagement;Oui;Non;Oui;4;Non Renseigné
TCK20066;19/05/2023;AG008;246;Oui;1,5;55,2;Réseaux Sociaux;Relevé compteur;Non;Non;Oui;;Non Renseigné
TCK20067;27/09/2023;AG008;312;Non;;26,03;Téléphone;Litige paiement;Oui;Non;Non;8;Non Renseigné
TCK20068;22/12/2023;AG008;204;Oui;5;;Chat;Résiliation;Oui;Oui;Oui;;Non Renseigné
TCK20069;01/02/2023;AG003;276;Oui;4;12,19;Chat;Litige paiement;Non;Non;Oui;;Non Renseigné
TCK20070;01/08/2023;AG002;222;Non;4,5;22,81;Email;Panne compteur;Non;Non;Non;;Non Renseigné
TCK20071;14/05/2023;AG006;456;Oui;3,5;19,52;Téléphone;Facturation;Non;Non;Oui;;Non Renseigné
TCK20072;02/04/2023;AG008;222;Oui;4;34,24;Chat;Déménagement;Non;Non;Oui;;Non Renseigné
TCK20073;21/02/2023;AG008;138;Oui;;27,75;Téléphone;Facturation;Non;Oui;Oui;7;Non Renseigné
TCK20074;17/04/2023;AG004;282;Oui;0,5;42,08;Réseaux Sociaux;Résiliation;Non;Non;Oui;9;Non Renseigné
TCK20075;08/10/2023;AG008;264;Oui;2;11,17;Téléphone;Réclamation;Non;Non;Non;6;Non Renseigné
TCK20076;15/07/2023;AG006;378;Oui;5;25,07;Téléphone;Demande d'information;Non;Non;Oui;;Erreur technique
TCK20077;20/06/2023;AG005;252;Non;3;;Chat;Demande d'information;Non;Oui;Oui;5;Non Renseigné
TCK20078;09/01/2023;AG001;294;Oui;4,5;40,3;Réseaux Sociaux;Demande d'information;Non;Non;Oui;;Non Renseigné
TCK20079;07/12/2023;AG004;234;Non;;38,52;Téléphone;Demande d'information;Oui;Non;Oui;7;Non Renseigné
TCK20080;13/08/2023;AG005;138;Oui;4,5;;Chat;Demande d'information;Non;Non;Oui;3;Non Renseigné
TCK20081;24/08/2023;AG003;324;Non;0,5;35,2;Téléphone;Réclamation;Oui;Non;Non;9;Non Renseigné
TCK20082;20/06/2023;AG007;78;Non;4;57,42;Téléphone;Facturation;Non;Non;Non Renseigné;5;Non Renseigné
TCK20083;31/12/2023;AG003;312;Non;4;;Email;Facturation;Oui;Non;Oui;;Non Renseigné
TCK20084;16/10/2023;AG008;324;Oui;3,5;13,9;Chat;Déménagement;Oui;Non;Non;8;Non Renseigné
TCK20085;26/01/2023;AG003;354;Oui;3;15,31;Email;Litige paiement;Non;Non;Non;7;Non Renseigné
TCK20086;09/03/2023;AG005;138;Oui;3;58,91;Email;Souscription contrat;Oui;Non;Oui;;Non Renseigné
TCK20087;14/01/2023;AG002;270;Non;4,5;17,93;Téléphone;Souscription contrat;Oui;Non;Oui;;Non Renseigné
TCK20088;30/04/2023;AG006;24;Non;4,5;41,97;Téléphone;Changement d'offre;Non;Non;Oui;10;Non Renseigné
TCK20089;07/09/2023;AG007;246;Oui;;16,45;Téléphone;Changement d'offre;Non;Non;Oui;;Non Renseigné
TCK20090;07/04/2023;AG001;90;Non;2;54,39;Email;Relevé compteur;Oui;Oui;Non Renseigné;;Non Renseigné
TCK20091;29/08/2023;AG003;216;Non;5;12,03;Email;Relevé compteur;Non;Non;Oui;;Non Renseigné
TCK20092;29/12/2023;AG008;372;Non;5;11,56;Chat;Résiliation;Non;Oui;Oui;6;Erreur technique
TCK20093;29/09/2023;AG004;198;Non;;58,34;Chat;Souscription contrat;Non;Non;Oui;6;Non Renseigné
TCK20094;25/10/2023;AG005;66;Oui;2,5;28,13;Chat;Panne compteur;Non;Non;Non;;Non Renseigné
TCK20095;09/07/2023;AG007;300;Non;4,5;13,32;Téléphone;Résiliation;Non;Non;Oui;8;Non Renseigné
TCK20096;22/12/2023;AG004;192;Non;4,5;57,45;Email;Demande d'information;Non;Non;Oui;;Non Renseigné
TCK20097;16/11/2023;AG002;486;Oui;3,5;;Chat;Demande d'information;Non;Non;Oui;;Non Renseigné
TCK20098;02/09/2023;AG003;294;Non;5;34,12;Téléphone;Changement d'offre;Oui;Non;Non;9;Non Renseigné
TCK20099;15/09/2023;AG005;96;Non;4;45,14;Chat;Souscription contrat;Oui;Non;Oui;;Non Renseigné
TCK20100;22/01/2023;AG007;348;Oui;;19,46;Téléphone;Souscription contrat;Oui;Non;Oui;;Non Renseigné
TCK20101;16/05/2023;AG002;180;Oui;2;38,67;Chat;Demande d'information;Non;Oui;Oui;9;Non Renseigné
TCK20102;04/08/2023;AG001;318;Oui;;57,11;Téléphone;Relevé compteur;Oui;Non;Oui;7;Non Renseigné
TCK20103;16/06/2023;AG004;234;Non;4;35,92;Email;Souscription contrat;Non;Non;Oui;;Non Renseigné
TCK20104;17/04/2023;AG008;138;Oui;;12,49;Email;Panne compteur;Oui;Non;Oui;9;Non Renseigné
TCK20105;16/01/2023;AG006;198;Non;;23,43;Email;Souscription contrat;Oui;Oui;Non;10;Non Renseigné
TCK20106;09/10/2023;AG008;318;Oui;5;57,2;Chat;Réclamation;Non;Non;Oui;1;Comportement agent
TCK20107;16/01/2023;AG008;498;Oui;1,5;;Téléphone;Panne compteur;Non;Non;Non;;Non Renseigné
TCK20108;07/11/2023;AG005;444;Non;5;34,47;Téléphone;Facturation;Oui;Non;Oui;;Non Renseigné
TCK20109;01/02/2023;AG008;180;Non;5;35,63;Chat;Déménagement;Non;Non;Oui;0;Délai de traitement
TCK20110;29/05/2023;AG001;234;Oui;2;33,54;Chat;Résiliation;Oui;Oui;Oui;7;Non Renseigné
TCK20111;25/09/2023;AG008;84;Oui;4;;Réseaux Sociaux;Changement d'offre;Oui;Non;Oui;7;Facturation incorrecte
TCK20112;20/06/2023;AG007;300;Oui;3;26,47;Réseaux Sociaux;Changement d'offre;Oui;Non;Oui;10;Non Renseigné
TCK20113;21/06/2023;AG002;288;Oui;5;12,11;Réseaux Sociaux;Panne compteur;Oui;Non;Oui;5;Non Renseigné
TCK20114;28/11/2023;AG007;606;Oui;3,5;18,42;Réseaux Sociaux;Souscription contrat;Oui;Non;Oui;9;Non Renseigné
TCK20115;08/02/2023;AG003;240;Non;3;48,02;Téléphone;Réclamation;Oui;Non;Oui;1;Non Renseigné
TCK20116;18/01/2023;AG007;300;Oui;;45,22;Email;Relevé compteur;Oui;Oui;Oui;;Non Renseigné
TCK20117;02/05/2023;AG002;246;Oui;;32,69;Chat;Facturation;Oui;Non;Oui;6;Non Renseigné
TCK20118;16/11/2023;AG008;396;Oui;2,5;34,01;Email;Litige paiement;Non;Non;Oui;;Non Renseigné
TCK20119;12/05/2023;AG003;282;Oui;3,5;28,66;Téléphone;Souscription contrat;Non;Non;Oui;10;Non Renseigné
TCK20120;17/11/2023;AG007;564;Non;2,5;19,45;Téléphone;Demande d'information;Oui;Non;Oui;6;Non Renseigné
TCK20121;17/03/2023;AG005;246;Non;4;55,05;Téléphone;Litige paiement;Non;Non;Oui;0;Non Renseigné
TCK20122;20/12/2023;AG003;390;Oui;2;14,97;Chat;Panne compteur;Non;Non;Non;5;Non Renseigné
TCK20123;15/10/2023;AG003;426;Non;4;40,21;Réseaux Sociaux;Souscription contrat;Oui;Oui;Non;5;Délai de traitement
TCK20124;01/03/2023;AG003;6;Non;;;Téléphone;Relevé compteur;Non;Non;Non Renseigné;0;Non Renseigné
TCK20125;11/12/2023;AG004;342;Oui;4,5;39,44;Réseaux Sociaux;Relevé compteur;Non;Non;Oui;9;Non Renseigné
TCK20126;16/04/2023;AG004;252;Oui;;;Réseaux Sociaux;Relevé compteur;Non;Non;Non;0;Non Renseigné
TCK20127;29/11/2023;AG001;180;Oui;1;18,74;Téléphone;Résiliation;Oui;Non;Oui;;Non Renseigné
TCK20128;16/09/2023;AG001;276;Oui;;44,37;Chat;Réclamation;Oui;Non;Oui;;Non Renseigné
TCK20129;02/08/2023;AG002;300;Non;1;26,27;Téléphone;Déménagement;Oui;Non;Oui;;Non Renseigné
TCK20130;08/06/2023;AG004;204;Non;3,5;;Email;Panne compteur;Non;Non;Oui;2;Non Renseigné
TCK20131;02/09/2023;AG007;90;Non;1;42,49;Téléphone;Réclamation;Non;Non;Oui;;Non Renseigné
TCK20132;17/08/2023;AG006;78;Non;2,5;;Téléphone;Résiliation;Non;Oui;Oui;7;Non Renseigné
TCK20133;12/10/2023;AG007;300;Non;;13,08;Chat;Résiliation;Oui;Non;Non;;Comportement agent
TCK20134;10/09/2023;AG005;150;Non;3;;Téléphone;Souscription contrat;Oui;Non;Oui;1;Non Renseigné
TCK20135;15/02/2023;AG001;360;Oui;5;13,28;Téléphone;Litige paiement;Non;Non;Oui;;Non Renseigné
TCK20136;17/12/2023;AG001;342;Oui;4,5;30,23;Chat;Panne compteur;Non;Non;Oui;8;Non Renseigné
TCK20137;03/11/2023;AG001;462;Oui;4,5;28,18;Réseaux Sociaux;Panne compteur;Non;Non;Oui;;Non Renseigné
TCK20138;16/08/2023;AG003;342;Non;4;58,53;Téléphone;Souscription contrat;Non;Oui;Non;8;Non Renseigné
TCK20139;02/07/2023;AG006;150;Oui;2,5;18,79;Chat;Relevé compteur;Non;Non;Non;;Non Renseigné
TCK20140;09/12/2023;AG008;114;Oui;;32,33;Téléphone;Facturation;Non;Non;Oui;5;Non Renseigné
TCK20141;05/06/2023;AG005;474;Non;;22,71;Réseaux Sociaux;Résiliation;Non;Non;Oui;;Non Renseigné
TCK20142;13/08/2023;AG006;264;Non;4,5;37,17;Réseaux Sociaux;Résiliation;Oui;Non;Oui;;Non Renseigné
TCK20143;23/03/2023;AG005;414;Oui;4,5;25,24;Chat;Souscription contrat;Non;Non;Oui;8;Non Renseigné
TCK20144;23/03/2023;AG002;174;Non;5;44,5;Téléphone;Relevé compteur;Oui;Oui;Oui;;Non Renseigné
TCK20145;15/11/2023;AG008;336;Oui;5;29,52;Chat;Relevé compteur;Oui;Non;Non;;Non Renseigné
TCK20146;23/11/2023;AG001;174;Oui;5;;Email;Déménagement;Non;Non;Non;7;Comportement agent
TCK20147;19/07/2023;AG001;6;Oui;3,5;28,39;Réseaux Sociaux;Facturation;Non;Non;Oui;7;Non Renseigné
TCK20148;30/12/2023;AG004;240;Oui;;;Téléphone;Changement d'offre;Oui;Non;Non;;Non Renseigné
TCK20149;12/01/2023;AG002;204;Oui;5;43,19;Email;Résiliation;Oui;Non;Oui;6;Erreur technique
TCK20150;09/05/2023;AG006;138;Oui;4,5;33,01;Réseaux Sociaux;Litige paiement;Oui;Non;Oui;4;Non Renseigné
TCK20151;13/01/2023;AG008;372;Oui;;;Email;Déménagement;Oui;Non;Oui;3;Non Renseigné
TCK20152;17/08/2023;AG008;210;Oui;1,5;11,15;Chat;Changement d'offre;Non;Non;Oui;9;Non Renseigné
TCK20153;19/07/2023;AG002;204;Oui;3,5;54,84;Chat;Panne compteur;Non;Non;Oui;9;Non Renseigné
TCK20154;21/05/2023;AG003;198;Oui;4;23,98;Téléphone;Changement d'offre;Non;Non;Oui;9;Non Renseigné
TCK20155;18/07/2023;AG002;192;Oui;2;16,37;Chat;Panne compteur;Non;Non;Non;;Non Renseigné
TCK20156;17/06/2023;AG007;204;Oui;;16,71;Téléphone;Relevé compteur;Non;Non;Oui;10;Non Renseigné
TCK20157;15/07/2023;AG006;294;Oui;3,5;42,24;Réseaux Sociaux;Panne compteur;Oui;Non;Non;;Non Renseigné
TCK20158;07/03/2023;AG003;408;Non;2,5;37,87;Réseaux Sociaux;Demande d'information;Non;Non;Non;8;Non Renseigné
TCK20159;09/07/2023;AG005;162;Oui;3,5;22,8;Chat;Déménagement;Non;Non;Oui;7;Non Renseigné
TCK20160;18/11/2023;AG003;180;Non;;36,82;Téléphone;Demande d'information;Oui;Non;Oui;9;Non Renseigné
TCK20161;13/04/2023;AG001;306;Oui;2,5;31,86;Téléphone;Souscription contrat;Non;Oui;Non;8;Non Renseigné
TCK20162;23/09/2023;AG008;342;Oui;2;53,57;Email;Réclamation;Oui;Non;Oui;;Non Renseigné
TCK20163;03/05/2023;AG006;108;Oui;;59,95;Téléphone;Souscription contrat;Oui;Non;Oui;;Non Renseigné
TCK20164;17/07/2023;AG001;108;Oui;4;21,26;Chat;Souscription contrat;Non;Oui;Oui;5;Non Renseigné
TCK20165;22/08/2023;AG004;450;Non;4,5;22,85;Réseaux Sociaux;Panne compteur;Non;Oui;Oui;;Non Renseigné
TCK20166;01/05/2023;AG008;24;Non;1;55,69;Email;Panne compteur;Oui;Non;Oui;6;Non Renseigné
TCK20167;12/12/2023;AG007;234;Oui;4,5;28,41;Réseaux Sociaux;Changement d'offre;Non;Oui;Oui;7;Non Renseigné
TCK20168;19/11/2023;AG003;120;Non;4;51,83;Téléphone;Relevé compteur;Non;Oui;Oui;;Non Renseigné
TCK20169;18/05/2023;AG006;108;Non;4;42,54;Email;Résiliation;Oui;Non;Oui;;Non Renseigné
TCK20170;07/04/2023;AG005;102;Oui;4,5;50,9;Chat;Souscription contrat;Oui;Non;Non;;Non Renseigné
TCK20171;11/06/2023;AG003;384;Non;2,5;11,92;Chat;Panne compteur;Non;Oui;Oui;;Non Renseigné
TCK20172;30/08/2023;AG007;276;Oui;;29,91;Réseaux Sociaux;Réclamation;Oui;Non;Oui;8;Non Renseigné
TCK20173;05/01/2023;AG004;390;Oui;5;34,86;Email;Panne compteur;Oui;Oui;Oui;9;Non Renseigné
TCK20174;02/11/2023;AG002;252;Oui;5;27,15;Téléphone;Changement d'offre;Non;Oui;Oui;0;Non Renseigné
TCK20175;03/12/2023;AG003;384;Oui;3,5;;Chat;Résiliation;Oui;Non;Oui;3;Non Renseigné
TCK20176;30/08/2023;AG004;252;Non;3,5;34,82;Chat;Réclamation;Oui;Non;Oui;;Facturation incorrecte
TCK20177;10/04/2023;AG003;150;Non;2,5;30,18;Téléphone;Relevé compteur;Oui;Non;Non;6;Non Renseigné
TCK20178;13/03/2023;AG002;186;Oui;3;58,07;Email;Demande d'information;Oui;Non;Oui;6;Non Renseigné
TCK20179;17/04/2023;AG008;462;Non;1;39,96;Email;Litige paiement;Non;Non;Oui;;Comportement agent
TCK20180;21/01/2023;AG002;258;Oui;2,5;29,86;Chat;Déménagement;Oui;Non;Oui;9;Comportement agent
TCK20181;01/02/2023;AG007;282;Oui;3,5;26,84;Téléphone;Facturation;Oui;Non;Oui;5;Non Renseigné
TCK20182;25/12/2023;AG004;390;Oui;;13,92;Email;Relevé compteur;Oui;Non;Oui;5;Non Renseigné
TCK20183;03/03/2023;AG006;294;Oui;4,5;13,63;Téléphone;Souscription contrat;Oui;Non;Oui;5;Non Renseigné
TCK20184;15/11/2023;AG001;228;Oui;1,5;43,44;Réseaux Sociaux;Relevé compteur;Oui;Non;Oui;;Non Renseigné
TCK20185;21/10/2023;AG005;324;Oui;;;Téléphone;Facturation;Oui;Non;Oui;5;Non Renseigné
TCK20186;05/12/2023;AG004;408;Non;4;16,25;Chat;Demande d'information;Non;Non;Non;6;Non Renseigné
TCK20187;26/10/2023;AG007;288;Oui;2;16,49;Téléphone;Demande d'information;Non;Oui;Non;;Facturation incorrecte
TCK20188;13/12/2023;AG001;342;Oui;2;30,75;Chat;Litige paiement;Oui;Non;Non Renseigné;9;Non Renseigné
TCK20189;25/03/2023;AG005;276;Oui;;26,35;Réseaux Sociaux;Réclamation;Oui;Oui;Oui;7;Non Renseigné
TCK20190;01/01/2023;AG004;342;Oui;4,5;51,85;Réseaux Sociaux;Changement d'offre;Non;Non;Oui;8;Non Renseigné
TCK20191;17/09/2023;AG006;288;Oui;2;59,77;Téléphone;Réclamation;Non;Non;Oui;;Non Renseigné
TCK20192;05/12/2023;AG003;396;Oui;;24,26;Chat;Changement d'offre;Non;Non;Non;7;Non Renseigné
TCK20193;20/08/2023;AG008;312;Non;3;21,96;Téléphone;Litige paiement;Non;Non;Oui;7;Non Renseigné
TCK20194;10/05/2023;AG008;282;Oui;3,5;38,02;Téléphone;Demande d'information;Oui;Non;Oui;4;Non Renseigné
TCK20195;30/12/2023;AG007;18;Oui;1,5;;Chat;Litige paiement;Oui;Non;Oui;;Non Renseigné
TCK20196;16/12/2023;AG004;180;Oui;2,5;40,63;Téléphone;Réclamation;Oui;Oui;Oui;10;Non Renseigné
TCK20197;04/07/2023;AG007;414;Oui;2,5;39,27;Téléphone;Litige paiement;Non;Oui;Non;7;Non Renseigné
TCK20198;20/06/2023;AG003;498;Oui;4,5;22,97;Téléphone;Panne compteur;Oui;Non;Oui;;Non Renseigné
TCK20199;25/06/2023;AG003;348;Non;1,5;14,23;Réseaux Sociaux;Déménagement;Oui;Non;Non;4;Non Renseigné
TCK20200;26/03/2023;AG004;240;Non;0,5;35,01;Téléphone;Relevé compteur;Oui;Non;Oui;9;Non Renseigné
TCK20201;24/04/2023;AG004;228;Non;2,5;52,02;Chat;Relevé compteur;Non;Oui;Oui;7;Non Renseigné
TCK20202;29/01/2023;AG006;372;Non;;27,55;Téléphone;Demande d'information;Oui;Oui;Non;;Non Renseigné
TCK20203;25/11/2023;AG002;342;Non;4;30,23;Réseaux Sociaux;Changement d'offre;Non;Oui;Oui;9;Délai de traitement
TCK20204;04/03/2023;AG001;138;Oui;;13,06;Réseaux Sociaux;Déménagement;Oui;Non;Oui;;Non Renseigné
TCK20205;08/07/2023;AG003;222;Oui;3,5;39,55;Email;Panne compteur;Non;Non;Oui;;Non Renseigné
TCK20206;26/11/2023;AG003;348;Oui;5;;Email;Déménagement;Oui;Non;Oui;8;Non Renseigné
TCK20207;28/11/2023;AG004;216;Oui;4;45,2;Réseaux Sociaux;Litige paiement;Oui;Non;Oui;;Non Renseigné
TCK20208;12/03/2023;AG006;258;Non;2;43,1;Téléphone;Résiliation;Oui;Oui;Oui;9;Non Renseigné
TCK20209;05/04/2023;AG002;336;Oui;5;33,24;Téléphone;Demande d'information;Oui;Non;Oui;;Délai de traitement
TCK20210;13/01/2023;AG003;180;Non;4;19,43;Téléphone;Changement d'offre;Non;Non;Oui;9;Non Renseigné
TCK20211;09/02/2023;AG002;498;Non;;35,39;Chat;Déménagement;Non;Non;Oui;7;Non Renseigné
TCK20212;17/09/2023;AG001;420;Oui;;46,78;Chat;Changement d'offre;Oui;Oui;Non Renseigné;7;Non Renseigné
TCK20213;03/02/2023;AG003;282;Non;;43,19;Email;Souscription contrat;Oui;Non;Oui;;Non Renseigné
TCK20214;10/10/2023;AG002;306;Oui;2,5;35,02;Téléphone;Relevé compteur;Non;Non;Oui;8;Non Renseigné
TCK20215;31/07/2023;AG008;204;Oui;2,5;54,7;Téléphone;Demande d'information;Oui;Non;Oui;;Non Renseigné
TCK20216;26/10/2023;AG001;342;Non;4;17,41;Téléphone;Relevé compteur;Oui;Non;Oui;;Non Renseigné
TCK20217;04/06/2023;AG006;36;Oui;;47,32;Téléphone;Résiliation;Non;Oui;Oui;9;Non Renseigné
TCK20218;23/09/2023;AG001;450;Oui;4,5;;Réseaux Sociaux;Litige paiement;Oui;Non;Oui;;Non Renseigné
TCK20219;18/09/2023;AG005;336;Non;;55,83;Email;Relevé compteur;Non;Non;Oui;;Non Renseigné
TCK20220;23/08/2023;AG002;378;Oui;2,5;;Email;Changement d'offre;Non;Non;Oui;8;Non Renseigné
TCK20221;23/09/2023;AG005;402;Oui;4,5;29,72;Email;Panne compteur;Oui;Non;Oui;2;Non Renseigné
TCK20222;21/06/2023;AG005;486;Oui;4,5;30,87;Téléphone;Changement d'offre;Oui;Non;Oui;8;Non Renseigné
