IdTicket,DateTicket,Operateur,TempsTraitement_Min,Resolu,Satisfaction_Client,CoutFacturation,Canal_Contact,Motif,Traite,Reprise_Appel,Conforme,Score_NPS,Motif_Reclamation
TCK20051,2023-04-05,Op007,4.6,1,,38.29,Réseaux sociaux,Souscription contrat,1,0,Vrai,8.0,
TCK20052,2023-02-11,Op008,5.0,1,,55.61,Chat,Changement d'offre,Oui,0,Vrai,8.0,Erreur technique
TCK20053,2023-12-24,Op006,4.8,0,10.0,57.3,Réseaux sociaux,Déménagement,1,1,Vrai,5.0,
TCK20054,2023-07-14,Op003,3.5,1,8.0,25.11,Chat,Changement d'offre,1,1,,10.0,
TCK20055,2023-11-30,Op008,3.8,Non,7.0,54.75,TEL,Demande d'information,Non,0,Faux,10.0,
TCK20056,2023-08-23,Op007,4.2,Non,,32.12,TEL,Résiliation,Oui,0,Vrai,,
TCK20057,2023-12-12,Op001,4.5,Oui,,12.3,Réseaux sociaux,Réclamation,1,0,Faux,3.0,
TCK20058,2023-03-22,Op004,0.9,Oui,,33.67,Chat,Changement d'offre,0,0,Faux,10.0,
TCK20059,2023-04-06,Op008,5.5,0,9.0,40.66,Chat,Souscription contrat,Oui,0,Vrai,,
TCK20060,2023-08-07,Op007,5.2,1,4.0,31.7,Réseaux sociaux,Réclamation,Non,1,Vrai,8.0,
TCK20061,2023-11-25,Op005,6.0,1,3.0,50.97,TEL,Demande d'information,0,0,Vrai,4.0,
TCK20062,2023-05-27,Op002,1.3,1,8.0,12.35,Mail,Résiliation,Non,1,Vrai,5.0,
TCK20063,2023-02-23,Op007,5.0,Oui,10.0,43.43,Chat,Déménagement,Oui,0,Vrai,10.0,
TCK20064,2023-04-08,Op004,4.3,Non,9.0,50.62,Réseaux sociaux,Panne compteur,1,0,Faux,8.0,
TCK20065,2023-08-24,Op005,4.8,Non,,52.67,Tel,Déménagement,Oui,0,Vrai,4.0,
TCK20066,2023-05-19,Op008,4.1,1,3.0,55.2,Réseaux sociaux,Relevé compteur,0,0,Vrai,,
TCK20067,2023-09-27,Op008,5.2,0,,26.03,Tel,Litige paiement,Oui,0,Faux,8.0,
TCK20068,2023-12-22,Op008,3.4,oui,10.0,,Chat,Résiliation,1,1,Vrai,,
TCK20069,2023-02-01,Op003,4.6,oui,8.0,12.19,Chat,Litige paiement,Non,0,Vrai,,
TCK20070,2023-08-01,Op002,3.7,Non,9.0,22.81,Mail,Panne compteur,0,0,Faux,,
TCK20071,2023-05-14,Op006,7.6,oui,7.0,19.52,TEL,Facturation,0,0,Vrai,,
TCK20072,2023-04-02,Op008,3.7,1,8.0,34.24,Chat,Déménagement,0,0,Vrai,,
TCK20073,2023-02-21,Op008,2.3,1,,27.75,Tel,Facturation,Non,1,Vrai,7.0,
TCK20074,2023-04-17,Op004,4.7,1,1.0,42.08,Réseaux sociaux,Résiliation,0,0,Vrai,9.0,
TCK20075,2023-10-08,Op008,4.4,Oui,4.0,11.17,Tel,Réclamation,0,0,Faux,6.0,
TCK20076,2023-07-15,Op006,6.3,Oui,10.0,25.07,TEL,Demande d'information,0,0,Vrai,,Erreur technique
TCK20077,2023-06-20,Op005,4.2,0,6.0,,Chat,Demande d'information,0,1,Vrai,5.0,
TCK20078,2023-01-09,Op001,4.9,1,9.0,40.3,Réseaux sociaux,Demande d'information,0,0,Vrai,,
TCK20079,2023-12-07,Op004,3.9,Non,,38.52,TEL,Demande d'information,1,0,Vrai,7.0,
TCK20080,2023-08-13,Op005,2.3,oui,9.0,,Chat,Demande d'information,Non,0,Vrai,3.0,
TCK20081,2023-08-24,Op003,5.4,0,1.0,35.2,Tel,Réclamation,Oui,0,Faux,9.0,
TCK20082,2023-06-20,Op007,1.3,0,8.0,57.42,TEL,Facturation,Non,0,,5.0,
TCK20083,2023-12-31,Op003,5.2,Non,8.0,,Mail,Facturation,1,0,Vrai,,
TCK20084,2023-10-16,Op008,5.4,Oui,7.0,13.9,Chat,Déménagement,1,0,Faux,8.0,
TCK20085,2023-01-26,Op003,5.9,oui,6.0,15.31,Mail,Litige paiement,Non,0,Faux,7.0,
TCK20086,2023-03-09,Op005,2.3,1,6.0,58.91,Mail,Souscription contrat,Oui,0,Vrai,,
TCK20087,2023-01-14,Op002,4.5,Non,9.0,17.93,TEL,Souscription contrat,Oui,0,Vrai,,
TCK20088,2023-04-30,Op006,0.4,Non,9.0,41.97,Tel,Changement d'offre,Non,0,Vrai,10.0,
TCK20089,2023-09-07,Op007,4.1,1,,16.45,TEL,Changement d'offre,Non,0,Vrai,,
TCK20090,2023-04-07,Op001,1.5,0,4.0,54.39,Mail,Relevé compteur,1,1,,,
TCK20091,2023-08-29,Op003,3.6,0,10.0,12.03,Mail,Relevé compteur,0,0,Vrai,,
TCK20092,2023-12-29,Op008,6.2,0,10.0,11.56,Chat,Résiliation,0,1,Vrai,6.0,Erreur technique
TCK20093,2023-09-29,Op004,3.3,Non,,58.34,Chat,Souscription contrat,0,0,Vrai,6.0,
TCK20094,2023-10-25,Op005,1.1,Oui,5.0,28.13,Chat,Panne compteur,0,0,Faux,,
TCK20095,2023-07-09,Op007,5.0,0,9.0,13.32,TEL,Résiliation,0,0,Vrai,8.0,
TCK20096,2023-12-22,Op004,3.2,Non,9.0,57.45,Mail,Demande d'information,0,0,Vrai,,
TCK20097,2023-11-16,Op002,8.1,oui,7.0,,Chat,Demande d'information,Non,0,Vrai,,
TCK20098,2023-09-02,Op003,4.9,Non,10.0,34.12,Tel,Changement d'offre,1,0,Faux,9.0,
TCK20099,2023-09-15,Op005,1.6,0,8.0,45.14,Chat,Souscription contrat,1,0,Vrai,,
TCK20100,2023-01-22,Op007,5.8,oui,,19.46,Tel,Souscription contrat,Oui,0,Vrai,,
TCK20101,2023-05-16,Op002,3.0,Oui,4.0,38.67,Chat,Demande d'information,Non,1,Vrai,9.0,
TCK20102,2023-08-04,Op001,5.3,oui,,57.11,TEL,Relevé compteur,Oui,0,Vrai,7.0,
TCK20103,2023-06-16,Op004,3.9,Non,8.0,35.92,Mail,Souscription contrat,Non,0,Vrai,,
TCK20104,2023-04-17,Op008,2.3,Oui,,12.49,Mail,Panne compteur,1,0,Vrai,9.0,
TCK20105,2023-01-16,Op006,3.3,Non,,23.43,Mail,Souscription contrat,Oui,1,Faux,10.0,
TCK20106,2023-10-09,Op008,5.3,Oui,10.0,57.2,Chat,Réclamation,0,0,Vrai,1.0,Comportement agent
TCK20107,2023-01-16,Op008,8.3,oui,3.0,,Tel,Panne compteur,0,0,Faux,,
TCK20108,2023-11-07,Op005,7.4,Non,10.0,34.47,TEL,Facturation,1,0,Vrai,,
TCK20109,2023-02-01,Op008,3.0,Non,10.0,35.63,Chat,Déménagement,0,0,Vrai,0.0,Délai de traitement
TCK20110,2023-05-29,Op001,3.9,1,4.0,33.54,Chat,Résiliation,1,1,Vrai,7.0,
TCK20111,2023-09-25,Op008,1.4,oui,8.0,,Réseaux sociaux,Changement d'offre,Oui,0,Vrai,7.0,Facturation incorrecte
TCK20112,2023-06-20,Op007,5.0,Oui,6.0,26.47,Réseaux sociaux,Changement d'offre,1,0,Vrai,10.0,
TCK20113,2023-06-21,Op002,4.8,Oui,10.0,12.11,Réseaux sociaux,Panne compteur,Oui,0,Vrai,5.0,
TCK20114,2023-11-28,Op007,10.1,1,7.0,18.42,Réseaux sociaux,Souscription contrat,Oui,0,Vrai,9.0,
TCK20115,2023-02-08,Op003,4.0,Non,6.0,48.02,TEL,Réclamation,Oui,0,Vrai,1.0,
TCK20116,2023-01-18,Op007,5.0,oui,,45.22,Mail,Relevé compteur,1,1,Vrai,,
TCK20117,2023-05-02,Op002,4.1,oui,,32.69,Chat,Facturation,1,0,Vrai,6.0,
TCK20118,2023-11-16,Op008,6.6,Oui,5.0,34.01,Mail,Litige paiement,Non,0,Vrai,,
TCK20119,2023-05-12,Op003,4.7,1,7.0,28.66,Tel,Souscription contrat,Non,0,Vrai,10.0,
TCK20120,2023-11-17,Op007,9.4,0,5.0,19.45,Tel,Demande d'information,1,0,Vrai,6.0,
TCK20121,2023-03-17,Op005,4.1,Non,8.0,55.05,TEL,Litige paiement,0,0,Vrai,0.0,
TCK20122,2023-12-20,Op003,6.5,1,4.0,14.97,Chat,Panne compteur,0,0,Faux,5.0,
TCK20123,2023-10-15,Op003,7.1,Non,8.0,40.21,Réseaux sociaux,Souscription contrat,1,1,Faux,5.0,Délai de traitement
TCK20124,2023-03-01,Op003,0.1,0,,,TEL,Relevé compteur,Non,0,,0.0,
TCK20125,2023-12-11,Op004,5.7,oui,9.0,39.44,Réseaux sociaux,Relevé compteur,Non,0,Vrai,9.0,
TCK20126,2023-04-16,Op004,4.2,oui,,,Réseaux sociaux,Relevé compteur,Non,0,Faux,0.0,
TCK20127,2023-11-29,Op001,3.0,1,2.0,18.74,TEL,Résiliation,1,0,Vrai,,
TCK20128,2023-09-16,Op001,4.6,1,,44.37,Chat,Réclamation,1,0,Vrai,,
TCK20129,2023-08-02,Op002,5.0,0,2.0,26.27,TEL,Déménagement,1,0,Vrai,,
TCK20130,2023-06-08,Op004,3.4,0,7.0,,Mail,Panne compteur,Non,0,Vrai,2.0,
TCK20131,2023-09-02,Op007,1.5,0,2.0,42.49,Tel,Réclamation,0,0,Vrai,,
TCK20132,2023-08-17,Op006,1.3,Non,5.0,,TEL,Résiliation,Non,1,Vrai,7.0,
TCK20133,2023-10-12,Op007,5.0,0,,13.08,Chat,Résiliation,Oui,0,Faux,,Comportement agent
TCK20134,2023-09-10,Op005,2.5,Non,6.0,,Tel,Souscription contrat,1,0,Vrai,1.0,
TCK20135,2023-02-15,Op001,6.0,Oui,10.0,13.28,Tel,Litige paiement,0,0,Vrai,,
TCK20136,2023-12-17,Op001,5.7,oui,9.0,30.23,Chat,Panne compteur,Non,0,Vrai,8.0,
TCK20137,2023-11-03,Op001,7.7,1,9.0,28.18,Réseaux sociaux,Panne compteur,Non,0,Vrai,,
TCK20138,2023-08-16,Op003,5.7,0,8.0,58.53,Tel,Souscription contrat,Non,1,Faux,8.0,
TCK20139,2023-07-02,Op006,2.5,oui,5.0,18.79,Chat,Relevé compteur,Non,0,Faux,,
TCK20140,2023-12-09,Op008,1.9,1,,32.33,TEL,Facturation,0,0,Vrai,5.0,
TCK20141,2023-06-05,Op005,7.9,Non,,22.71,Réseaux sociaux,Résiliation,Non,0,Vrai,,
TCK20142,2023-08-13,Op006,4.4,Non,9.0,37.17,Réseaux sociaux,Résiliation,1,0,Vrai,,
TCK20143,2023-03-23,Op005,6.9,oui,9.0,25.24,Chat,Souscription contrat,0,0,Vrai,8.0,
TCK20144,2023-03-23,Op002,2.9,0,10.0,44.5,TEL,Relevé compteur,1,1,Vrai,,
TCK20145,2023-11-15,Op008,5.6,oui,10.0,29.52,Chat,Relevé compteur,Oui,0,Faux,,
TCK20146,2023-11-23,Op001,2.9,1,10.0,,Mail,Déménagement,Non,0,Faux,7.0,Comportement agent
TCK20147,2023-07-19,Op001,0.1,oui,7.0,28.39,Réseaux sociaux,Facturation,0,0,Vrai,7.0,
TCK20148,2023-12-30,Op004,4.0,Oui,,,Tel,Changement d'offre,1,0,Faux,,
TCK20149,2023-01-12,Op002,3.4,1,10.0,43.19,Mail,Résiliation,Oui,0,Vrai,6.0,Erreur technique
TCK20150,2023-05-09,Op006,2.3,1,9.0,33.01,Réseaux sociaux,Litige paiement,1,0,Vrai,4.0,
TCK20151,2023-01-13,Op008,6.2,1,,,Mail,Déménagement,Oui,0,Vrai,3.0,
TCK20152,2023-08-17,Op008,3.5,1,3.0,11.15,Chat,Changement d'offre,Non,0,Vrai,9.0,
TCK20153,2023-07-19,Op002,3.4,1,7.0,54.84,Chat,Panne compteur,Non,0,Vrai,9.0,
TCK20154,2023-05-21,Op003,3.3,1,8.0,23.98,Tel,Changement d'offre,0,0,Vrai,9.0,
TCK20155,2023-07-18,Op002,3.2,1,4.0,16.37,Chat,Panne compteur,Non,0,Faux,,
TCK20156,2023-06-17,Op007,3.4,oui,,16.71,TEL,Relevé compteur,0,0,Vrai,10.0,
TCK20157,2023-07-15,Op006,4.9,1,7.0,42.24,Réseaux sociaux,Panne compteur,Oui,0,Faux,,
TCK20158,2023-03-07,Op003,6.8,0,5.0,37.87,Réseaux sociaux,Demande d'information,0,0,Faux,8.0,
TCK20159,2023-07-09,Op005,2.7,1,7.0,22.8,Chat,Déménagement,0,0,Vrai,7.0,
TCK20160,2023-11-18,Op003,3.0,Non,,36.82,Tel,Demande d'information,Oui,0,Vrai,9.0,
TCK20161,2023-04-13,Op001,5.1,Oui,5.0,31.86,TEL,Souscription contrat,Non,1,Faux,8.0,
TCK20162,2023-09-23,Op008,5.7,Oui,4.0,53.57,Mail,Réclamation,Oui,0,Vrai,,
TCK20163,2023-05-03,Op006,1.8,1,,59.95,Tel,Souscription contrat,Oui,0,Vrai,,
TCK20164,2023-07-17,Op001,1.8,oui,8.0,21.26,Chat,Souscription contrat,Non,1,Vrai,5.0,
TCK20165,2023-08-22,Op004,7.5,0,9.0,22.85,Réseaux sociaux,Panne compteur,Non,1,Vrai,,
TCK20166,2023-05-01,Op008,0.4,Non,2.0,55.69,Mail,Panne compteur,1,0,Vrai,6.0,
TCK20167,2023-12-12,Op007,3.9,oui,9.0,28.41,Réseaux sociaux,Changement d'offre,Non,1,Vrai,7.0,
TCK20168,2023-11-19,Op003,2.0,Non,8.0,51.83,TEL,Relevé compteur,Non,1,Vrai,,
TCK20169,2023-05-18,Op006,1.8,0,8.0,42.54,Mail,Résiliation,Oui,0,Vrai,,
TCK20170,2023-04-07,Op005,1.7,Oui,9.0,50.9,Chat,Souscription contrat,Oui,0,Faux,,
TCK20171,2023-06-11,Op003,6.4,Non,5.0,11.92,Chat,Panne compteur,Non,1,Vrai,,
TCK20172,2023-08-30,Op007,4.6,oui,,29.91,Réseaux sociaux,Réclamation,Oui,0,Vrai,8.0,
TCK20173,2023-01-05,Op004,6.5,1,10.0,34.86,Mail,Panne compteur,1,1,Vrai,9.0,
TCK20174,2023-11-02,Op002,4.2,1,10.0,27.15,TEL,Changement d'offre,Non,1,Vrai,0.0,
TCK20175,2023-12-03,Op003,6.4,1,7.0,,Chat,Résiliation,Oui,0,Vrai,3.0,
TCK20176,2023-08-30,Op004,4.2,0,7.0,34.82,Chat,Réclamation,Oui,0,Vrai,,Facturation incorrecte
TCK20177,2023-04-10,Op003,2.5,0,5.0,30.18,Tel,Relevé compteur,1,0,Faux,6.0,
TCK20178,2023-03-13,Op002,3.1,Oui,6.0,58.07,Mail,Demande d'information,1,0,Vrai,6.0,
TCK20179,2023-04-17,Op008,7.7,Non,2.0,39.96,Mail,Litige paiement,0,0,Vrai,,Comportement agent
TCK20180,2023-01-21,Op002,4.3,1,5.0,29.86,Chat,Déménagement,Oui,0,Vrai,9.0,Comportement agent
TCK20181,2023-02-01,Op007,4.7,oui,7.0,26.84,Tel,Facturation,Oui,0,Vrai,5.0,
TCK20182,2023-12-25,Op004,6.5,Oui,,13.92,Mail,Relevé compteur,1,0,Vrai,5.0,
TCK20183,2023-03-03,Op006,4.9,1,9.0,13.63,TEL,Souscription contrat,1,0,Vrai,5.0,
TCK20184,2023-11-15,Op001,3.8,oui,3.0,43.44,Réseaux sociaux,Relevé compteur,Oui,0,Vrai,,
TCK20185,2023-10-21,Op005,5.4,oui,,,TEL,Facturation,1,0,Vrai,5.0,
TCK20186,2023-12-05,Op004,6.8,0,8.0,16.25,Chat,Demande d'information,0,0,Faux,6.0,
TCK20187,2023-10-26,Op007,4.8,Oui,4.0,16.49,Tel,Demande d'information,0,1,Faux,,Facturation incorrecte
TCK20188,2023-12-13,Op001,5.7,1,4.0,30.75,Chat,Litige paiement,Oui,0,,9.0,
TCK20189,2023-03-25,Op005,4.6,Oui,,26.35,Réseaux sociaux,Réclamation,1,1,Vrai,7.0,
TCK20190,2023-01-01,Op004,5.7,oui,9.0,51.85,Réseaux sociaux,Changement d'offre,Non,0,Vrai,8.0,
TCK20191,2023-09-17,Op006,4.8,oui,4.0,59.77,Tel,Réclamation,0,0,Vrai,,
TCK20192,2023-12-05,Op003,6.6,1,,24.26,Chat,Changement d'offre,0,0,Faux,7.0,
TCK20193,2023-08-20,Op008,5.2,Non,6.0,21.96,TEL,Litige paiement,Non,0,Vrai,7.0,
TCK20194,2023-05-10,Op008,4.7,oui,7.0,38.02,TEL,Demande d'information,1,0,Vrai,4.0,
TCK20195,2023-12-30,Op007,0.3,Oui,3.0,,Chat,Litige paiement,Oui,0,Vrai,,
TCK20196,2023-12-16,Op004,3.0,1,5.0,40.63,TEL,Réclamation,Oui,1,Vrai,10.0,
TCK20197,2023-07-04,Op007,6.9,Oui,5.0,39.27,TEL,Litige paiement,Non,1,Faux,7.0,
TCK20198,2023-06-20,Op003,8.3,oui,9.0,22.97,Tel,Panne compteur,Oui,0,Vrai,,
TCK20199,2023-06-25,Op003,5.8,0,3.0,14.23,Réseaux sociaux,Déménagement,Oui,0,Faux,4.0,
TCK20200,2023-03-26,Op004,4.0,Non,1.0,35.01,TEL,Relevé compteur,Oui,0,Vrai,9.0,
TCK20201,2023-04-24,Op004,3.8,0,5.0,52.02,Chat,Relevé compteur,0,1,Vrai,7.0,
TCK20202,2023-01-29,Op006,6.2,Non,,27.55,Tel,Demande d'information,Oui,1,Faux,,
TCK20203,2023-11-25,Op002,5.7,0,8.0,30.23,Réseaux sociaux,Changement d'offre,0,1,Vrai,9.0,Délai de traitement
TCK20204,2023-03-04,Op001,2.3,1,,13.06,Réseaux sociaux,Déménagement,1,0,Vrai,,
TCK20205,2023-07-08,Op003,3.7,oui,7.0,39.55,Mail,Panne compteur,Non,0,Vrai,,
TCK20206,2023-11-26,Op003,5.8,oui,10.0,,Mail,Déménagement,1,0,Vrai,8.0,
TCK20207,2023-11-28,Op004,3.6,1,8.0,45.2,Réseaux sociaux,Litige paiement,1,0,Vrai,,
TCK20208,2023-03-12,Op006,4.3,Non,4.0,43.1,Tel,Résiliation,1,1,Vrai,9.0,
TCK20209,2023-04-05,Op002,5.6,1,10.0,33.24,Tel,Demande d'information,Oui,0,Vrai,,Délai de traitement
TCK20210,2023-01-13,Op003,3.0,0,8.0,19.43,TEL,Changement d'offre,Non,0,Vrai,9.0,
TCK20211,2023-02-09,Op002,8.3,Non,,35.39,Chat,Déménagement,Non,0,Vrai,7.0,
TCK20212,2023-09-17,Op001,7.0,Oui,,46.78,Chat,Changement d'offre,Oui,1,,7.0,
TCK20213,2023-02-03,Op003,4.7,0,,43.19,Mail,Souscription contrat,Oui,0,Vrai,,
TCK20214,2023-10-10,Op002,5.1,1,5.0,35.02,Tel,Relevé compteur,Non,0,Vrai,8.0,
TCK20215,2023-07-31,Op008,3.4,Oui,5.0,54.7,TEL,Demande d'information,1,0,Vrai,,
TCK20216,2023-10-26,Op001,5.7,Non,8.0,17.41,TEL,Relevé compteur,1,0,Vrai,,
TCK20217,2023-06-04,Op006,0.6,oui,,47.32,TEL,Résiliation,Non,1,Vrai,9.0,
TCK20218,2023-09-23,Op001,7.5,1,9.0,,Réseaux sociaux,Litige paiement,Oui,0,Vrai,,
TCK20219,2023-09-18,Op005,5.6,Non,,55.83,Mail,Relevé compteur,Non,0,Vrai,,
TCK20220,2023-08-23,Op002,6.3,Oui,5.0,,Mail,Changement d'offre,Non,0,Vrai,8.0,
TCK20221,2023-09-23,Op005,6.7,1,9.0,29.72,Mail,Panne compteur,1,0,Vrai,2.0,
TCK20222,2023-06-21,Op005,8.1,1,9.0,30.87,Tel,Changement d'offre,1,0,Vrai,8.0,
TCK20223,2023-06-22,Op004,5.2,Oui,2.0,46.53,Chat,Panne compteur,0,0,,5.0,
TCK20224,2023-11-17,Op006,3.1,0,6.0,,Chat,Demande d'information,0,0,Faux,8.0,
TCK20225,2023-08-09,Op006,4.6,Non,4.0,19.6,Chat,Résiliation,Non,0,Vrai,6.0,
TCK20226,2023-01-27,Op005,5.4,Oui,8.0,54.74,Tel,Changement d'offre,0,0,Vrai,,
TCK20227,2023-05-23,Op008,5.9,0,8.0,15.88,Réseaux sociaux,Souscription contrat,Oui,1,Vrai,,
TCK20228,2023-06-25,Op007,6.2,oui,7.0,18.83,Tel,Relevé compteur,Oui,1,Faux,,
TCK20229,2023-06-21,Op005,2.3,1,6.0,39.01,TEL,Réclamation,1,1,Vrai,,
TCK20230,2023-01-17,Op007,4.0,0,3.0,,Réseaux sociaux,Souscription contrat,0,0,Vrai,,
TCK20231,2023-06-11,Op002,5.7,oui,9.0,43.51,TEL,Relevé compteur,1,0,Vrai,,
TCK20232,2023-04-19,Op005,5.3,Non,9.0,,Chat,Résiliation,1,0,Vrai,6.0,
TCK20233,2023-08-27,Op005,2.4,oui,5.0,26.82,TEL,Déménagement,0,0,Vrai,10.0,
TCK20234,2023-02-12,Op008,3.3,0,5.0,18.94,TEL,Changement d'offre,0,0,Faux,5.0,
TCK20235,2023-04-16,Op001,2.7,1,,55.1,Mail,Litige paiement,0,0,,9.0,
TCK20236,2023-05-19,Op005,1.9,oui,4.0,32.42,Mail,Réclamation,Oui,0,Vrai,9.0,
TCK20237,2023-02-26,Op003,3.5,0,10.0,26.03,Chat,Souscription contrat,Non,0,Vrai,9.0,
TCK20238,2023-06-02,Op007,6.5,Oui,9.0,38.29,Tel,Réclamation,Non,0,Vrai,,
TCK20239,2023-11-29,Op006,4.2,1,9.0,,Chat,Résiliation,Non,0,Vrai,9.0,Facturation incorrecte
TCK20240,2023-01-17,Op006,5.4,Oui,8.0,35.67,Mail,Résiliation,Non,0,,,
TCK20241,2023-07-23,Op001,2.9,1,,42.53,Tel,Panne compteur,1,0,Vrai,7.0,
TCK20242,2023-12-11,Op007,4.2,0,,,Réseaux sociaux,Litige paiement,Oui,1,Vrai,,
