Reference_Dossier,Jour,Nom_Agent,Duree_Min,Dossier_Cloture,Note_Client,Prix_Prestation,Type_Contact,Objet,Traite,Repris,Conformite_Controle,NPS_Client,Est_Reclamation
DOS50056,45246,AGT-07,2.8,FALSE,,54.25,Email,Souscription contrat,FALSE,0,Non Conforme,,VRAI
DOS50057,45061,AGT-19,8.2,FAUX,5.0,40.61,Téléphone,Relevé compteur,FALSE,1,Conforme,7.0,VRAI
DOS50058,45014,AGT-07,4.4,FALSE,4.0,54.55,Email,Réclamation,FALSE,0,Conforme,,FAUX
DOS50059,45206,AGT-25,6.8,VRAI,3.0,18.78,Chat,Déménagement,TRUE,0,NC,10.0,VRAI
DOS50060,45108,AGT-25,8.1,VRAI,,30.6,Chat,Panne compteur,TRUE,0,Conforme,9.0,VRAI
DOS50061,45181,AGT-03,5.4,VRAI,4.0,32.13,Téléphone,Relevé compteur,TRUE,0,Conforme,1.0,VRAI
DOS50062,45037,AGT-03,5.1,FALSE,3.0,37.98,Email,Demande d'information,FALSE,0,Conforme,9.0,FAUX
DOS50063,45020,AGT-08,5.7,VRAI,5.0,14.35,Chat,Litige paiement,FALSE,0,Conforme,6.0,FAUX
DOS50064,45033,AGT-08,6.1,VRAI,5.0,29.37,Téléphone,Panne compteur,FALSE,0,NC,9.0,VRAI
DOS50065,45131,AGT-07,7.2,VRAI,,12.7,Courrier,Résiliation,TRUE,1,Non Conforme,,VRAI
DOS50066,45204,AGT-12,4.8,FALSE,2.0,12.05,Email,Demande d'information,TRUE,0,Conforme,,FAUX
DOS50067,45150,AGT-25,5.3,TRUE,,38.49,Courrier,Panne compteur,FALSE,0,NC,,FAUX
DOS50068,45003,AGT-25,4.2,TRUE,3.0,40.09,Email,Changement d'offre,TRUE,0,Conforme,,FAUX
DOS50069,45202,AGT-08,4.2,FALSE,3.0,14.31,Courrier,Demande d'information,FALSE,0,Conforme,8.0,VRAI
DOS50070,45288,AGT-07,0.0,FALSE,,36.95,Chat,Déménagement,FALSE,1,Conforme,,VRAI
DOS50071,44944,AGT-12,4.3,TRUE,5.0,40.46,Courrier,Panne compteur,FALSE,0,Conforme,10.0,VRAI
DOS50072,45040,AGT-11,3.3,TRUE,5.0,15.84,Email,Demande d'information,FALSE,1,Conforme,8.0,FAUX
DOS50073,45057,AGT-12,6.9,FAUX,1.0,15.38,Courrier,Résiliation,TRUE,0,Conforme,10.0,FAUX
DOS50074,44932,AGT-08,6.5,VRAI,4.0,21.36,Courrier,Facturation,FALSE,0,,9.0,VRAI
DOS50075,45235,AGT-25,5.0,FALSE,4.0,23.04,Chat,Demande d'information,TRUE,1,Conforme,10.0,FAUX
DOS50076,45005,AGT-12,5.6,TRUE,5.0,41.23,Chat,Souscription contrat,TRUE,0,NC,8.0,FAUX
DOS50077,45252,AGT-25,3.5,FAUX,3.0,39.65,Email,Déménagement,TRUE,0,Conforme,,VRAI
DOS50078,45188,AGT-08,5.1,FALSE,5.0,17.78,Téléphone,Changement d'offre,FALSE,0,,,FAUX
DOS50079,45015,AGT-25,7.5,FALSE,,24.44,Courrier,Panne compteur,FALSE,0,Conforme,,FAUX
DOS50080,45048,AGT-11,7.4,FAUX,2.0,34.83,Email,Changement d'offre,FALSE,0,Conforme,,FAUX
DOS50081,45140,AGT-11,8.4,FAUX,3.0,41.37,Téléphone,Demande d'information,FALSE,0,Non Conforme,8.0,VRAI
DOS50082,45281,AGT-12,6.9,FALSE,4.0,37.2,Courrier,Litige paiement,TRUE,0,Conforme,6.0,VRAI
DOS50083,45161,AGT-08,5.8,FALSE,4.0,45.48,Courrier,Demande d'information,TRUE,0,Conforme,7.0,VRAI
DOS50084,45073,AGT-19,6.8,FALSE,,50.79,Chat,Souscription contrat,TRUE,0,Conforme,,VRAI
DOS50085,45022,AGT-07,2.9,VRAI,4.0,28.59,Téléphone,Facturation,FALSE,0,Conforme,7.0,VRAI
DOS50086,45013,AGT-03,6.6,FALSE,4.0,14.56,Chat,Souscription contrat,FALSE,0,Conforme,9.0,VRAI
DOS50087,45276,AGT-12,7.0,VRAI,4.0,37.0,Chat,Relevé compteur,TRUE,0,NC,8.0,FAUX
DOS50088,45219,AGT-25,5.1,VRAI,5.0,17.24,Chat,Demande d'information,FALSE,0,Conforme,9.0,FAUX
DOS50089,44981,AGT-07,5.3,TRUE,4.0,37.56,Chat,Panne compteur,TRUE,0,Conforme,,VRAI
DOS50090,45128,AGT-25,4.7,TRUE,4.0,35.29,Courrier,Réclamation,FALSE,0,Conforme,,FAUX
DOS50091,45285,AGT-03,5.0,VRAI,4.0,28.68,Email,Facturation,FALSE,0,Conforme,,FAUX
DOS50092,44967,AGT-07,5.5,FAUX,3.0,47.36,Chat,Résiliation,FALSE,0,NC,,FAUX
DOS50093,45246,AGT-19,5.7,VRAI,5.0,21.31,Courrier,Réclamation,FALSE,0,,8.0,FAUX
DOS50094,45066,AGT-25,3.5,VRAI,4.0,44.9,Téléphone,Demande d'information,TRUE,0,Conforme,,VRAI
DOS50095,45205,AGT-11,3.9,FAUX,,52.76,Téléphone,Relevé compteur,FALSE,0,NC,,VRAI
DOS50096,45085,AGT-25,6.5,FAUX,4.0,39.46,Courrier,Changement d'offre,FALSE,0,,3.0,FAUX
DOS50097,45222,AGT-12,5.9,TRUE,,28.67,Chat,Litige paiement,TRUE,0,Conforme,,VRAI
DOS50098,45085,AGT-07,3.7,FAUX,4.0,13.35,Courrier,Changement d'offre,FALSE,0,Conforme,4.0,FAUX
DOS50099,44966,AGT-19,4.9,VRAI,5.0,41.91,Chat,Souscription contrat,FALSE,0,Non Conforme,,VRAI
DOS50100,44944,AGT-19,8.7,TRUE,4.0,35.98,Chat,Résiliation,FALSE,0,Conforme,,FAUX
DOS50101,45280,AGT-11,1.1,VRAI,4.0,23.93,Courrier,Litige paiement,FALSE,0,,8.0,FAUX
DOS50102,45167,AGT-19,0.2,FAUX,4.0,28.7,Email,Déménagement,TRUE,0,Non Conforme,,VRAI
DOS50103,45245,AGT-19,1.1,VRAI,4.0,47.29,Chat,Demande d'information,TRUE,0,Conforme,,VRAI
DOS50104,45111,AGT-25,9.6,FALSE,2.0,50.51,Email,Facturation,FALSE,0,Conforme,1.0,FAUX
DOS50105,45068,AGT-07,3.1,TRUE,4.0,49.25,Courrier,Déménagement,FALSE,0,Conforme,7.0,FAUX
DOS50106,45213,AGT-08,4.6,VRAI,1.0,13.5,Email,Réclamation,TRUE,0,Conforme,,VRAI
DOS50107,45068,AGT-19,6.3,TRUE,4.0,23.23,Téléphone,Facturation,FALSE,1,Conforme,,VRAI
DOS50108,44928,AGT-12,6.1,TRUE,4.0,39.92,Courrier,Litige paiement,FALSE,0,Conforme,,VRAI
DOS50109,44996,AGT-11,4.7,TRUE,5.0,15.51,Téléphone,Panne compteur,TRUE,0,Conforme,8.0,FAUX
DOS50110,44970,AGT-03,8.0,FALSE,4.0,48.96,Chat,Panne compteur,TRUE,0,Conforme,9.0,FAUX
DOS50111,45134,AGT-12,6.7,FALSE,4.0,52.45,Email,Facturation,TRUE,1,Conforme,,FAUX
DOS50112,45002,AGT-19,3.9,TRUE,,22.33,Email,Demande d'information,TRUE,0,Non Conforme,10.0,VRAI
DOS50113,45068,AGT-11,3.2,FAUX,,27.43,Courrier,Changement d'offre,FALSE,0,Conforme,,VRAI
DOS50114,44969,AGT-03,5.5,TRUE,4.0,43.74,Chat,Relevé compteur,FALSE,0,Conforme,9.0,VRAI
DOS50115,45268,AGT-11,6.8,FALSE,5.0,33.08,Chat,Relevé compteur,TRUE,0,Conforme,8.0,FAUX
DOS50116,44971,AGT-03,8.8,FALSE,,21.26,Courrier,Changement d'offre,FALSE,0,Conforme,8.0,VRAI
DOS50117,45080,AGT-12,5.8,VRAI,5.0,43.04,Email,Résiliation,TRUE,0,Conforme,,FAUX
DOS50118,45166,AGT-07,4.5,TRUE,,44.1,Téléphone,Demande d'information,FALSE,0,Conforme,9.0,FAUX
DOS50119,44974,AGT-08,7.7,FALSE,3.0,-29.37,Courrier,Litige paiement,TRUE,1,Non Conforme,,VRAI
DOS50120,45257,AGT-19,7.4,FAUX,,54.65,Chat,Panne compteur,TRUE,0,Conforme,,FAUX
DOS50121,45247,AGT-25,6.7,VRAI,5.0,26.85,Courrier,Litige paiement,TRUE,0,Conforme,,VRAI
DOS50122,44983,AGT-07,2.9,FALSE,5.0,20.78,Chat,Litige paiement,FALSE,0,Conforme,9.0,VRAI
DOS50123,44966,AGT-11,4.6,FAUX,,41.82,Téléphone,Facturation,TRUE,0,NC,8.0,VRAI
DOS50124,45236,AGT-12,4.8,TRUE,4.0,19.73,Téléphone,Relevé compteur,FALSE,0,Conforme,,FAUX
DOS50125,45216,AGT-07,6.7,TRUE,5.0,24.26,Email,Réclamation,TRUE,1,Conforme,,FAUX
DOS50126,45273,AGT-12,1.6,TRUE,5.0,22.04,Email,Facturation,FALSE,0,NC,7.0,VRAI
DOS50127,45244,AGT-12,4.4,FALSE,5.0,43.65,Courrier,Panne compteur,TRUE,0,,9.0,FAUX
DOS50128,45066,AGT-07,5.2,FALSE,3.0,46.13,Courrier,Relevé compteur,TRUE,0,,,VRAI
DOS50129,45112,AGT-25,4.8,VRAI,5.0,23.45,Téléphone,Changement d'offre,TRUE,0,Conforme,,FAUX
DOS50130,45128,AGT-07,8.5,FAUX,3.0,40.17,Chat,Réclamation,TRUE,0,Conforme,9.0,VRAI
DOS50131,44954,AGT-11,7.2,FAUX,,31.17,Email,Déménagement,FALSE,1,Conforme,7.0,FAUX
DOS50132,45216,AGT-08,7.2,VRAI,4.0,44.61,Email,Panne compteur,FALSE,0,,9.0,FAUX
DOS50133,45015,AGT-12,4.3,FAUX,5.0,25.81,Chat,Souscription contrat,FALSE,0,Conforme,8.0,VRAI
DOS50134,44951,AGT-08,5.5,TRUE,5.0,14.22,Courrier,Réclamation,TRUE,0,Conforme,7.0,FAUX
DOS50135,45178,AGT-12,3.5,FALSE,,26.49,Courrier,Résiliation,TRUE,0,Conforme,10.0,VRAI
DOS50136,45006,AGT-07,3.6,FALSE,,44.82,Téléphone,Facturation,FALSE,0,Conforme,,VRAI
DOS50137,45262,AGT-03,7.2,FAUX,5.0,44.06,Téléphone,Facturation,TRUE,0,Conforme,0.0,FAUX
DOS50138,44951,AGT-12,6.8,FALSE,5.0,44.15,Téléphone,Panne compteur,TRUE,1,Conforme,8.0,FAUX
DOS50139,44941,AGT-07,3.4,VRAI,5.0,29.09,Téléphone,Souscription contrat,FALSE,0,Conforme,6.0,VRAI
DOS50140,45167,AGT-25,5.4,VRAI,5.0,51.62,Chat,Déménagement,FALSE,0,Conforme,5.0,VRAI
DOS50141,45037,AGT-12,2.3,FALSE,4.0,39.5,Téléphone,Réclamation,FALSE,0,Conforme,9.0,VRAI
DOS50142,45236,AGT-19,6.2,FALSE,4.0,30.37,Email,Facturation,TRUE,0,Conforme,,VRAI
DOS50143,45085,AGT-08,3.3,FAUX,5.0,37.44,Courrier,Facturation,TRUE,0,,7.0,VRAI
DOS50144,44980,AGT-12,5.4,FAUX,4.0,47.0,Téléphone,Souscription contrat,TRUE,1,Conforme,,VRAI
DOS50145,45108,AGT-08,8.7,VRAI,5.0,43.05,Email,Relevé compteur,FALSE,0,,9.0,FAUX
DOS50146,45199,AGT-19,3.1,FALSE,5.0,47.95,Courrier,Souscription contrat,FALSE,0,Conforme,10.0,FAUX
DOS50147,44985,AGT-25,5.9,FAUX,4.0,52.24,Courrier,Réclamation,FALSE,0,NC,,VRAI
DOS50148,45259,AGT-12,5.1,FAUX,3.0,23.13,Chat,Déménagement,TRUE,0,Conforme,,VRAI
DOS50149,44960,AGT-08,2.9,TRUE,4.0,44.44,Email,Résiliation,TRUE,0,Conforme,9.0,VRAI
DOS50150,45069,AGT-03,3.8,VRAI,3.0,49.71,Courrier,Changement d'offre,TRUE,0,Conforme,2.0,VRAI
DOS50151,45067,AGT-07,6.1,TRUE,3.0,19.78,Chat,Changement d'offre,TRUE,0,Conforme,,FAUX
DOS50152,44931,AGT-19,4.8,FALSE,5.0,26.12,Courrier,Souscription contrat,TRUE,1,Conforme,4.0,FAUX
DOS50153,44991,AGT-08,8.0,FAUX,5.0,18.8,Chat,Réclamation,TRUE,0,Non Conforme,,VRAI
DOS50154,45030,AGT-07,6.2,FALSE,2.0,35.67,Chat,Réclamation,TRUE,0,Non Conforme,8.0,FAUX
DOS50155,45115,AGT-12,3.2,FALSE,5.0,17.25,Email,Déménagement,TRUE,0,Conforme,,FAUX
DOS50156,45228,AGT-07,6.9,VRAI,5.0,14.51,Chat,Réclamation,FALSE,0,Conforme,,VRAI
DOS50157,44955,AGT-03,7.2,VRAI,5.0,36.09,Téléphone,Changement d'offre,FALSE,0,Conforme,,FAUX
DOS50158,45067,AGT-25,5.8,FAUX,2.0,51.83,Téléphone,Résiliation,FALSE,0,Conforme,9.0,FAUX
DOS50159,45185,AGT-12,6.3,FAUX,4.0,46.89,Email,Panne compteur,TRUE,0,Conforme,,FAUX
DOS50160,45041,AGT-19,5.7,VRAI,,25.16,Chat,Litige paiement,FALSE,0,NC,,FAUX
DOS50161,45261,AGT-19,7.7,VRAI,5.0,21.37,Téléphone,Demande d'information,FALSE,0,Conforme,,FAUX
DOS50162,45159,AGT-25,7.4,VRAI,5.0,19.42,Email,Résiliation,FALSE,0,Conforme,3.0,FAUX
DOS50163,45196,AGT-25,2.3,FALSE,,23.12,Courrier,Résiliation,FALSE,0,Conforme,7.0,VRAI
DOS50164,45290,AGT-25,2.1,FAUX,5.0,37.31,Chat,Résiliation,TRUE,0,,,FAUX
DOS50165,44953,AGT-25,4.8,FALSE,,51.7,Chat,Demande d'information,FALSE,0,,7.0,FAUX
DOS50166,45049,AGT-07,6.8,TRUE,5.0,37.06,Courrier,Facturation,FALSE,0,Conforme,,VRAI
DOS50167,45177,AGT-12,7.6,VRAI,5.0,32.98,Courrier,Facturation,FALSE,0,,8.0,VRAI
DOS50168,45147,AGT-11,0.0,FAUX,5.0,44.25,Email,Changement d'offre,FALSE,0,Conforme,10.0,FAUX
DOS50169,45218,AGT-03,4.8,VRAI,5.0,19.55,Téléphone,Demande d'information,FALSE,0,Conforme,,FAUX
DOS50170,45128,AGT-19,4.6,FAUX,4.0,17.89,Chat,Déménagement,TRUE,1,Conforme,0.0,VRAI
DOS50171,45070,AGT-03,5.0,TRUE,5.0,19.45,Courrier,Souscription contrat,TRUE,0,Conforme,5.0,VRAI
DOS50172,45080,AGT-03,5.5,TRUE,4.0,-47.99,Courrier,Facturation,TRUE,0,Conforme,,FAUX
DOS50173,44934,AGT-03,4.3,FALSE,4.0,28.05,Téléphone,Facturation,TRUE,0,Conforme,5.0,VRAI
DOS50174,45228,AGT-12,4.6,TRUE,4.0,25.99,Email,Résiliation,FALSE,1,,,VRAI
DOS50175,45090,AGT-03,6.0,FALSE,3.0,18.48,Email,Relevé compteur,TRUE,0,Conforme,6.0,FAUX
DOS50176,45101,AGT-07,2.7,FAUX,,38.37,Chat,Demande d'information,TRUE,0,Conforme,,FAUX
DOS50177,45290,AGT-08,8.9,FAUX,5.0,44.75,Courrier,Souscription contrat,TRUE,0,Conforme,,VRAI
DOS50178,45139,AGT-25,9.5,VRAI,5.0,52.22,Chat,Résiliation,FALSE,0,Conforme,,VRAI
DOS50179,45093,AGT-11,6.7,FAUX,4.0,24.86,Courrier,Déménagement,TRUE,0,Conforme,,VRAI
DOS50180,45290,AGT-19,7.9,TRUE,2.0,38.29,Chat,Souscription contrat,FALSE,0,Conforme,,FAUX
DOS50181,45157,AGT-12,3.4,FALSE,5.0,19.68,Chat,Relevé compteur,FALSE,0,Conforme,,VRAI
DOS50182,45259,AGT-25,4.0,FAUX,5.0,30.03,Courrier,Changement d'offre,TRUE,0,Non Conforme,6.0,FAUX
DOS50183,45070,AGT-25,0.7,TRUE,4.0,19.67,Chat,Relevé compteur,FALSE,0,Conforme,6.0,FAUX
DOS50184,45175,AGT-19,5.3,FAUX,5.0,32.7,Email,Panne compteur,FALSE,1,Conforme,,VRAI
DOS50185,45100,AGT-19,5.4,FAUX,3.0,41.24,Email,Réclamation,TRUE,0,Conforme,,FAUX
DOS50186,44994,AGT-03,5.8,VRAI,,46.36,Courrier,Changement d'offre,TRUE,0,Conforme,7.0,FAUX
DOS50187,45220,AGT-12,1.9,TRUE,4.0,13.56,Téléphone,Souscription contrat,FALSE,0,Conforme,10.0,FAUX
DOS50188,45024,AGT-07,5.1,VRAI,2.0,27.45,Courrier,Résiliation,FALSE,0,Conforme,0.0,FAUX
DOS50189,45099,AGT-19,5.9,VRAI,4.0,24.59,Email,Résiliation,TRUE,0,Conforme,,FAUX
DOS50190,45025,AGT-08,6.2,FALSE,5.0,53.08,Email,Souscription contrat,TRUE,0,Conforme,,FAUX
DOS50191,45220,AGT-08,4.1,FAUX,5.0,29.79,Courrier,Réclamation,TRUE,0,Conforme,7.0,VRAI
DOS50192,45274,AGT-25,9.3,FALSE,4.0,30.7,Email,Réclamation,FALSE,0,Conforme,7.0,FAUX
DOS50193,45202,AGT-11,4.8,TRUE,5.0,36.03,Courrier,Résiliation,TRUE,0,,7.0,FAUX
DOS50194,45137,AGT-03,5.5,FAUX,,14.27,Courrier,Changement d'offre,TRUE,0,Conforme,8.0,VRAI
DOS50195,45280,AGT-08,4.5,TRUE,4.0,47.13,Téléphone,Changement d'offre,TRUE,0,Non Conforme,1.0,VRAI
DOS50196,45264,AGT-11,4.1,VRAI,3.0,25.92,Courrier,Réclamation,TRUE,0,Conforme,7.0,FAUX
DOS50197,45290,AGT-12,6.5,FAUX,3.0,32.7,Email,Souscription contrat,TRUE,0,,5.0,VRAI
DOS50198,45045,AGT-03,2.0,FALSE,3.0,37.48,Téléphone,Facturation,TRUE,0,Conforme,,FAUX
DOS50199,44929,AGT-25,6.6,FAUX,4.0,24.8,Email,Résiliation,FALSE,0,Conforme,9.0,FAUX
DOS50200,45030,AGT-03,5.4,TRUE,,53.34,Email,Souscription contrat,FALSE,0,Conforme,,VRAI
DOS50201,45246,AGT-19,4.9,VRAI,5.0,30.36,Téléphone,Souscription contrat,TRUE,0,Conforme,10.0,FAUX
DOS50202,45025,AGT-03,2.8,FALSE,,35.69,Email,Panne compteur,FALSE,0,Non Conforme,8.0,VRAI
DOS50203,44944,AGT-25,5.3,FALSE,,18.22,Courrier,Litige paiement,FALSE,0,NC,5.0,VRAI
DOS50204,44954,AGT-08,6.5,TRUE,3.0,20.42,Email,Demande d'information,TRUE,0,NC,,VRAI
DOS50205,45018,AGT-12,5.5,VRAI,5.0,44.88,Courrier,Relevé compteur,FALSE,0,Conforme,9.0,FAUX
DOS50206,44930,AGT-19,5.1,TRUE,5.0,16.76,Chat,Relevé compteur,FALSE,0,Conforme,,VRAI
DOS50207,45280,AGT-12,4.7,VRAI,5.0,27.16,Téléphone,Changement d'offre,TRUE,0,Non Conforme,9.0,VRAI
DOS50208,45222,AGT-25,4.3,FALSE,,29.95,Email,Panne compteur,TRUE,0,NC,8.0,VRAI
DOS50209,45027,AGT-19,3.0,VRAI,,24.93,Téléphone,Déménagement,TRUE,1,NC,8.0,VRAI
DOS50210,45151,AGT-03,6.5,VRAI,2.0,29.23,Chat,Changement d'offre,TRUE,0,Conforme,0.0,FAUX
DOS50211,44986,AGT-08,5.7,FAUX,1.0,20.27,Courrier,Réclamation,FALSE,0,Non Conforme,,FAUX
DOS50212,45267,AGT-03,6.6,FAUX,5.0,36.58,Courrier,Panne compteur,TRUE,0,Non Conforme,,VRAI
DOS50213,45022,AGT-07,4.3,VRAI,5.0,31.57,Téléphone,Facturation,TRUE,0,,9.0,VRAI
DOS50214,45111,AGT-08,4.9,FAUX,3.0,23.98,Courrier,Relevé compteur,TRUE,0,Conforme,,FAUX
DOS50215,45032,AGT-19,2.9,FALSE,5.0,52.56,Courrier,Facturation,FALSE,0,Conforme,9.0,FAUX
DOS50216,45028,AGT-12,2.1,FALSE,5.0,29.66,Chat,Souscription contrat,TRUE,0,Conforme,1.0,VRAI
DOS50217,45064,AGT-19,5.4,VRAI,,49.7,Email,Panne compteur,FALSE,1,Conforme,,VRAI
DOS50218,45246,AGT-12,1.1,TRUE,,20.94,Email,Relevé compteur,TRUE,0,Conforme,8.0,FAUX
DOS50219,45110,AGT-07,5.9,FALSE,,46.41,Email,Réclamation,FALSE,0,Non Conforme,,VRAI
DOS50220,45094,AGT-03,4.0,VRAI,4.0,21.35,Chat,Souscription contrat,FALSE,1,Conforme,,FAUX
DOS50221,45079,AGT-12,9.7,VRAI,5.0,26.37,Courrier,Demande d'information,TRUE,0,NC,8.0,FAUX
DOS50222,45104,AGT-07,5.3,VRAI,3.0,29.23,Téléphone,Panne compteur,TRUE,1,Non Conforme,8.0,FAUX
