N_Contact,Date,Agent_ID,Handling_Time_Sec,Status,Rating,Billed_Amount,Channel,Topic,Handled,Repeat_Call,Compliance,NPS_Score,Complaint
CNT-70026,02/20/2023,102,265,Unresolved,3.0,33.93,Email,Réclamation,Yes,No,Compliant,,No
CNT-70027,04/06/2023,102,349,Resolved,5.0,49.86,Chat,Déménagement,Yes,No,Compliant,7.0,No
CNT-70028,05/08/2023,106,155,Resolved,1.0,16.49,phone,Souscription contrat,Yes,No,Non-compliant,,Yes
CNT-70029,02/09/2023,103,140,Resolved,5.0,45.73,Social Media,Souscription contrat,Yes,No,Compliant,10.0,No
CNT-70030,11/11/2023,102,213,Pending,5.0,49.25,Email,Relevé compteur,Yes,Yes,Compliant,5.0,No
CNT-70031,04/03/2023,109,N/A,Resolved,4.0,38.97,phone,Facturation,Yes,No,Non-compliant,7.0,No
CNT-70032,08/12/2023,103,452,Unresolved,4.0,31.26,Chat,Relevé compteur,Yes,Yes,Compliant,5.0,No
CNT-70033,07/25/2023,109,N/A,Unresolved,5.0,36.33,Chat,Relevé compteur,Yes,No,Compliant,10.0,No
CNT-70034,05/03/2023,104,214,Pending,3.0,43.8,Social Media,Facturation,Yes,No,Non-compliant,4.0,No
CNT-70035,12/19/2023,103,374,Resolved,5.0,15.68,Chat,Réclamation,Yes,No,Compliant,5.0,No
CNT-70036,09/27/2023,107,126,resolved,4.0,42.02,Chat,Demande d'information,Yes,No,Compliant,,No
CNT-70037,04/29/2023,106,109,Unresolved,2.0,35.78,Phone,Déménagement,No,No,Compliant,8.0,No
CNT-70038,06/12/2023,107,454,resolved,2.0,11.16,Chat,Déménagement,Yes,No,Compliant,8.0,No
CNT-70039,02/10/2023,103,179,resolved,3.0,16.39,Social Media,Changement d'offre,Yes,Yes,Compliant,,No
CNT-70040,08/31/2023,103,406,resolved,5.0,40.74,Phone,Facturation,Yes,No,N/A,6.0,No
CNT-70041,10/31/2023,107,391,resolved,5.0,25.52,Chat,Demande d'information,Yes,No,Compliant,,No
CNT-70042,08/17/2023,104,354,resolved,3.0,48.5,phone,Demande d'information,No,No,Compliant,8.0,No
CNT-70043,07/26/2023,105,374,Pending,,17.82,Email,Changement d'offre,Yes,Yes,Compliant,9.0,No
CNT-70044,04/09/2023,107,476,Pending,,49.94,Email,Facturation,No,No,Compliant,,No
CNT-70045,04/15/2023,104,370,resolved,5.0,17.25,Social Media,Panne compteur,Yes,Yes,Non-compliant,,No
CNT-70046,11/12/2023,109,46,Unresolved,5.0,30.56,Chat,Souscription contrat,Yes,No,Compliant,9.0,No
CNT-70047,12/30/2023,104,292,resolved,2.0,18.52,phone,Panne compteur,Yes,No,Non-compliant,,No
CNT-70048,08/07/2023,105,269,resolved,2.0,22.77,Social Media,Déménagement,Yes,No,Compliant,7.0,No
CNT-70049,04/26/2023,106,201,Pending,4.0,16.46,Email,Réclamation,Yes,No,Compliant,8.0,No
CNT-70050,02/13/2023,104,226,Unresolved,1.0,47.97,phone,Résiliation,No,No,Non-compliant,,No
CNT-70051,12/29/2023,106,246,Unresolved,4.0,32.83,Email,Relevé compteur,Yes,No,Compliant,10.0,No
CNT-70052,03/17/2023,106,228,Resolved,4.0,,Email,Changement d'offre,Yes,No,Compliant,0.0,No
CNT-70053,10/29/2023,109,387,Unresolved,4.0,46.04,Chat,Panne compteur,Yes,No,N/A,7.0,No
CNT-70054,08/29/2023,107,527,Unresolved,4.0,29.16,Social Media,Déménagement,No,No,Compliant,,No
CNT-70055,10/15/2023,106,199,Pending,2.0,39.06,Social Media,Panne compteur,Yes,No,Non-compliant,7.0,No
CNT-70056,05/31/2023,106,94,Unresolved,4.0,14.97,Social Media,Panne compteur,No,No,N/A,,No
CNT-70057,04/23/2023,104,308,resolved,4.0,33.85,phone,Litige paiement,Yes,No,Non-compliant,,Yes
CNT-70058,08/13/2023,102,N/A,Pending,5.0,25.22,phone,Réclamation,Yes,No,Compliant,,No
CNT-70059,04/03/2023,106,257,Unresolved,5.0,30.11,phone,Facturation,Yes,No,N/A,8.0,No
CNT-70060,04/30/2023,103,365,resolved,5.0,35.59,Email,Relevé compteur,Yes,No,Compliant,9.0,No
CNT-70061,06/21/2023,109,210,Unresolved,4.0,20.89,phone,Résiliation,Yes,No,Compliant,,No
CNT-70062,04/21/2023,106,257,resolved,4.0,29.43,Email,Déménagement,Yes,No,Compliant,9.0,No
CNT-70063,05/24/2023,101,381,resolved,,49.04,phone,Réclamation,Yes,Yes,Compliant,,No
CNT-70064,07/19/2023,103,244,Pending,2.0,14.76,phone,Litige paiement,Yes,No,Compliant,8.0,No
CNT-70065,01/21/2023,108,308,resolved,2.0,22.35,Phone,Demande d'information,Yes,Yes,Compliant,9.0,No
CNT-70066,02/24/2023,104,320,resolved,3.0,44.73,Social Media,Résiliation,Yes,No,Compliant,8.0,No
CNT-70067,12/28/2023,102,245,Unresolved,,29.97,Email,Demande d'information,Yes,No,Compliant,,No
CNT-70068,01/03/2023,107,248,resolved,3.0,17.84,Phone,Facturation,No,No,Compliant,5.0,No
CNT-70069,07/13/2023,105,261,Resolved,5.0,10.02,Phone,Résiliation,Yes,No,Compliant,3.0,No
CNT-70070,12/11/2023,106,200,Pending,5.0,44.63,phone,Litige paiement,Yes,Yes,Compliant,,No
CNT-70071,03/26/2023,104,303,Unresolved,5.0,35.38,Social Media,Réclamation,yes,No,Compliant,,No
CNT-70072,06/19/2023,102,202,Resolved,4.0,34.73,Chat,Demande d'information,Yes,No,Compliant,0.0,Yes
CNT-70073,09/24/2023,104,214,resolved,5.0,45.93,phone,Déménagement,No,No,N/A,,No
CNT-70074,07/29/2023,104,169,resolved,4.0,33.08,Phone,Litige paiement,Yes,No,Compliant,10.0,No
CNT-70075,11/10/2023,101,390,Pending,3.0,21.74,Social Media,Souscription contrat,No,Yes,N/A,6.0,No
CNT-70076,08/03/2023,104,133,resolved,,34.34,Chat,Relevé compteur,Yes,No,Compliant,,No
CNT-70077,01/25/2023,109,448,Unresolved,4.0,23.01,Phone,Changement d'offre,Yes,No,Compliant,6.0,Yes
CNT-70078,01/10/2023,109,251,resolved,4.0,47.15,phone,Souscription contrat,Yes,No,Non-compliant,10.0,No
CNT-70079,02/25/2023,107,223,Unresolved,4.0,34.68,Chat,Demande d'information,Yes,Yes,Non-compliant,,No
CNT-70080,02/17/2023,105,169,resolved,3.0,21.18,Social Media,Litige paiement,Yes,Yes,Compliant,9.0,No
CNT-70081,04/17/2023,109,178,resolved,1.0,32.67,Social Media,Demande d'information,Yes,No,Compliant,,No
CNT-70082,09/20/2023,102,201,Pending,5.0,38.42,Phone,Panne compteur,Yes,No,Compliant,4.0,No
CNT-70083,02/28/2023,103,564,resolved,4.0,21.98,Social Media,Panne compteur,Yes,No,Compliant,6.0,No
CNT-70084,12/22/2023,104,201,Unresolved,5.0,41.09,Phone,Facturation,No,No,Compliant,9.0,No
CNT-70085,04/20/2023,102,310,resolved,4.0,36.22,phone,Facturation,Yes,No,Compliant,10.0,No
CNT-70086,11/26/2023,103,239,Unresolved,,36.35,phone,Panne compteur,Yes,No,Compliant,10.0,No
CNT-70087,09/14/2023,107,458,Unresolved,4.0,12.27,Email,Litige paiement,Yes,No,Compliant,6.0,No
CNT-70088,01/20/2023,108,284,Pending,4.0,39.32,Social Media,Déménagement,Yes,Yes,Compliant,10.0,Yes
CNT-70089,12/22/2023,109,147,Unresolved,2.0,12.13,Social Media,Réclamation,Yes,No,Compliant,6.0,No
CNT-70090,08/06/2023,107,216,Unresolved,4.0,39.4,Social Media,Facturation,Yes,No,Compliant,9.0,No
CNT-70091,06/23/2023,107,504,Pending,3.0,22.46,phone,Réclamation,Yes,No,N/A,,No
CNT-70092,02/27/2023,105,345,Pending,3.0,48.18,Social Media,Résiliation,Yes,No,N/A,,No
CNT-70093,03/26/2023,104,258,Unresolved,4.0,47.01,Phone,Déménagement,Yes,No,Compliant,,No
CNT-70094,09/16/2023,108,173,Unresolved,,21.2,phone,Changement d'offre,Yes,Yes,Compliant,,No
CNT-70095,11/13/2023,101,183,Pending,3.0,27.09,Phone,Résiliation,Yes,No,Compliant,8.0,No
CNT-70096,03/07/2023,101,159,Resolved,5.0,34.45,phone,Changement d'offre,No,No,Compliant,10.0,No
CNT-70097,04/25/2023,107,111,Pending,5.0,40.26,Email,Déménagement,Yes,Yes,Compliant,10.0,No
CNT-70098,08/20/2023,104,338,resolved,4.0,10.32,Social Media,Litige paiement,Yes,No,Compliant,,No
CNT-70099,04/29/2023,104,318,Unresolved,5.0,10.96,Social Media,Panne compteur,Yes,No,Compliant,,No
CNT-70100,06/22/2023,103,276,Unresolved,,32.7,Email,Réclamation,Yes,No,Compliant,7.0,No
CNT-70101,07/18/2023,107,406,resolved,3.0,11.16,Email,Panne compteur,Yes,No,Compliant,,No
CNT-70102,02/09/2023,104,334,resolved,4.0,44.23,phone,Réclamation,Yes,Yes,Compliant,8.0,No
CNT-70103,11/24/2023,103,127,Pending,,46.6,phone,Changement d'offre,Yes,No,Compliant,,No
CNT-70104,01/16/2023,104,569,Unresolved,,43.16,phone,Résiliation,Yes,No,Compliant,8.0,No
CNT-70105,04/22/2023,105,262,Resolved,4.0,31.04,Phone,Changement d'offre,Yes,No,Non-compliant,9.0,No
CNT-70106,06/14/2023,101,351,Pending,3.0,41.39,Chat,Relevé compteur,Yes,No,Compliant,,No
CNT-70107,08/29/2023,108,263,resolved,1.0,46.27,Chat,Litige paiement,Yes,Yes,N/A,7.0,No
CNT-70108,01/08/2023,107,273,Pending,4.0,43.54,Social Media,Résiliation,Yes,No,Compliant,1.0,No
CNT-70109,08/02/2023,102,109,Resolved,4.0,13.56,Email,Panne compteur,Yes,No,Compliant,3.0,No
CNT-70110,03/16/2023,109,204,Pending,4.0,42.13,Chat,Déménagement,No,No,Compliant,,No
CNT-70111,05/02/2023,104,311,resolved,,34.09,Phone,Changement d'offre,No,No,Compliant,9.0,No
CNT-70112,02/01/2023,103,247,Unresolved,5.0,36.96,phone,Réclamation,Yes,No,Compliant,,Yes
CNT-70113,04/18/2023,101,121,Resolved,4.0,34.99,Social Media,Relevé compteur,Yes,No,Compliant,,No
CNT-70114,03/15/2023,105,349,Resolved,4.0,30.29,Chat,Facturation,Yes,No,Non-compliant,10.0,No
CNT-70115,05/14/2023,103,243,Unresolved,5.0,29.74,Email,Souscription contrat,Yes,No,Compliant,,No
CNT-70116,06/20/2023,102,271,resolved,3.0,41.95,Chat,Litige paiement,Yes,Yes,Compliant,6.0,Yes
CNT-70117,08/13/2023,107,128,Pending,4.0,17.83,Phone,Résiliation,Yes,No,Compliant,9.0,No
CNT-70118,04/08/2023,106,99,Resolved,,40.15,Email,Réclamation,Yes,No,Non-compliant,7.0,No
CNT-70119,12/02/2023,102,276,Resolved,3.0,32.14,phone,Panne compteur,Yes,No,Compliant,4.0,No
CNT-70120,04/16/2023,106,391,resolved,,31.52,Phone,Souscription contrat,Yes,No,Compliant,,No
CNT-70121,06/13/2023,106,346,Pending,1.0,24.76,Phone,Facturation,Yes,No,Non-compliant,7.0,No
CNT-70122,11/28/2023,108,330,Unresolved,,26.08,phone,Panne compteur,Yes,No,Compliant,10.0,No
CNT-70123,09/18/2023,101,285,Unresolved,4.0,21.89,phone,Changement d'offre,Yes,No,Compliant,7.0,No
CNT-70124,06/23/2023,104,143,Resolved,4.0,12.02,Phone,Facturation,Yes,No,Non-compliant,7.0,No
CNT-70125,07/06/2023,109,58,Unresolved,,29.44,Social Media,Relevé compteur,No,No,Non-compliant,8.0,No
CNT-70126,12/22/2023,103,522,Unresolved,4.0,23.88,phone,Panne compteur,Yes,Yes,Compliant,1.0,No
CNT-70127,11/17/2023,103,243,Pending,5.0,34.14,phone,Litige paiement,Yes,No,Compliant,,No
CNT-70128,07/23/2023,108,206,Resolved,,48.74,Chat,Litige paiement,Yes,Yes,Compliant,,No
CNT-70129,09/25/2023,102,269,Unresolved,,37.94,Email,Demande d'information,Yes,No,N/A,7.0,No
CNT-70130,02/02/2023,104,169,Unresolved,5.0,14.88,Phone,Changement d'offre,Yes,No,Compliant,7.0,No
CNT-70131,07/11/2023,105,217,Resolved,,15.88,phone,Déménagement,Yes,No,Compliant,8.0,No
CNT-70132,04/09/2023,108,445,Unresolved,5.0,42.95,Social Media,Litige paiement,Yes,No,N/A,,No
CNT-70133,09/10/2023,104,297,Unresolved,3.0,41.45,phone,Souscription contrat,Yes,No,Compliant,,No
CNT-70134,08/25/2023,107,321,resolved,3.0,38.65,Email,Déménagement,Yes,No,Compliant,5.0,Yes
CNT-70135,07/11/2023,102,251,Pending,,11.9,Email,Changement d'offre,No,No,Compliant,,No
CNT-70136,02/27/2023,107,375,Unresolved,5.0,46.14,Email,Relevé compteur,Yes,No,Compliant,5.0,No
CNT-70137,03/22/2023,106,372,Pending,3.0,24.29,Chat,Litige paiement,Yes,No,Non-compliant,10.0,Yes
CNT-70138,12/03/2023,101,240,Unresolved,4.0,22.62,Social Media,Relevé compteur,Yes,No,Compliant,1.0,No
CNT-70139,01/16/2023,105,263,Resolved,4.0,11.55,Phone,Relevé compteur,Yes,No,Compliant,6.0,No
CNT-70140,12/11/2023,105,394,Unresolved,1.0,17.46,Chat,Panne compteur,Yes,Yes,Compliant,,No
CNT-70141,06/18/2023,108,269,Pending,,30.63,Chat,Changement d'offre,Yes,No,Compliant,4.0,No
CNT-70142,05/26/2023,102,229,Unresolved,4.0,29.95,Email,Changement d'offre,No,No,Compliant,,No
CNT-70143,12/24/2023,105,235,Unresolved,4.0,12.25,Social Media,Relevé compteur,Yes,Yes,Compliant,10.0,No
CNT-70144,12/20/2023,109,217,Resolved,2.0,13.38,phone,Facturation,Yes,No,Compliant,9.0,No
CNT-70145,11/01/2023,106,267,Resolved,5.0,31.55,Email,Panne compteur,Yes,No,Compliant,7.0,No
CNT-70146,06/17/2023,105,220,Pending,2.0,32.51,Email,Souscription contrat,No,No,Non-compliant,4.0,No
CNT-70147,07/16/2023,109,267,Unresolved,4.0,43.38,phone,Souscription contrat,Yes,No,Compliant,,No
CNT-70148,10/04/2023,109,193,Unresolved,,33.29,Social Media,Relevé compteur,Yes,Yes,Compliant,,No
CNT-70149,05/08/2023,102,299,Resolved,5.0,36.56,Email,Réclamation,Yes,No,Compliant,,No
CNT-70150,02/23/2023,107,314,Pending,4.0,34.97,Email,Résiliation,Yes,No,Non-compliant,7.0,No
CNT-70151,05/27/2023,101,332,resolved,5.0,36.82,Chat,Réclamation,Yes,Yes,Compliant,,No
CNT-70152,05/08/2023,107,316,Resolved,,22.44,Phone,Facturation,Yes,No,Compliant,,No
CNT-70153,10/18/2023,107,366,Unresolved,,,phone,Réclamation,Yes,No,Compliant,,No
CNT-70154,04/30/2023,106,341,resolved,5.0,9.7,Chat,Réclamation,Yes,No,Compliant,,Yes
CNT-70155,04/26/2023,103,234,resolved,4.0,37.65,phone,Demande d'information,Yes,No,Non-compliant,2.0,No
CNT-70156,01/02/2023,109,262,Pending,2.0,49.75,Email,Résiliation,Yes,Yes,Compliant,10.0,No
CNT-70157,06/29/2023,109,266,Resolved,3.0,37.19,Phone,Relevé compteur,Yes,Yes,Compliant,,No
CNT-70158,11/06/2023,103,216,resolved,4.0,21.8,Social Media,Demande d'information,No,No,Compliant,,No
CNT-70159,05/28/2023,106,85,resolved,3.0,20.01,phone,Litige paiement,Yes,No,N/A,9.0,No
CNT-70160,04/09/2023,108,63,Pending,5.0,,Chat,Litige paiement,Yes,No,Compliant,10.0,No
CNT-70161,04/18/2023,105,148,Unresolved,1.0,34.97,phone,Demande d'information,Yes,No,Compliant,,No
CNT-70162,05/31/2023,104,201,Unresolved,4.0,17.76,phone,Facturation,Yes,No,Compliant,10.0,No
CNT-70163,11/17/2023,101,350,Pending,3.0,36.34,phone,Souscription contrat,Yes,No,Non-compliant,,No
CNT-70164,05/06/2023,102,328,Resolved,5.0,9.65,Chat,Demande d'information,Yes,No,Compliant,,No
CNT-70165,09/28/2023,109,288,resolved,4.0,43.97,Email,Litige paiement,Yes,No,Compliant,7.0,No
CNT-70166,09/06/2023,103,493,Resolved,4.0,12.75,Email,Déménagement,Yes,No,Compliant,,No
CNT-70167,12/19/2023,104,300,Resolved,4.0,26.74,Chat,Relevé compteur,Yes,No,Compliant,5.0,No
CNT-70168,02/15/2023,109,185,Unresolved,,29.67,Social Media,Litige paiement,No,No,N/A,,No
CNT-70169,05/21/2023,102,177,resolved,3.0,42.31,Chat,Changement d'offre,Yes,No,Compliant,7.0,No
CNT-70170,05/26/2023,109,316,Pending,4.0,31.12,Phone,Souscription contrat,Yes,No,Compliant,8.0,Yes
CNT-70171,08/12/2023,103,411,resolved,4.0,26.52,Phone,Déménagement,Yes,No,Compliant,,No
CNT-70172,01/30/2023,105,265,Pending,4.0,19.41,Chat,Résiliation,Yes,No,Compliant,8.0,No
CNT-70173,02/05/2023,107,303,Pending,4.0,,Phone,Réclamation,Yes,No,Compliant,,No
CNT-70174,04/22/2023,108,315,Unresolved,4.0,30.44,Chat,Résiliation,Yes,No,Compliant,8.0,No
CNT-70175,06/25/2023,109,124,Unresolved,5.0,9.32,Chat,Résiliation,No,Yes,Compliant,,No
CNT-70176,02/07/2023,104,312,resolved,5.0,36.14,Phone,Résiliation,Yes,No,Compliant,7.0,No
CNT-70177,08/08/2023,101,345,resolved,4.0,11.82,Email,Panne compteur,Yes,Yes,Compliant,4.0,Yes
CNT-70178,04/29/2023,105,317,resolved,4.0,44.37,phone,Panne compteur,Yes,No,Non-compliant,6.0,No
CNT-70179,10/05/2023,107,241,Pending,5.0,20.71,Social Media,Souscription contrat,Yes,No,Compliant,,No
CNT-70180,07/01/2023,108,242,Pending,4.0,23.59,Social Media,Litige paiement,Yes,No,Compliant,7.0,Yes
CNT-70181,08/02/2023,102,140,resolved,5.0,36.97,Email,Demande d'information,Yes,No,Compliant,9.0,No
CNT-70182,05/10/2023,103,250,Pending,5.0,,Phone,Déménagement,Yes,No,Compliant,7.0,No
CNT-70183,02/01/2023,106,292,Pending,5.0,11.55,Social Media,Changement d'offre,No,Yes,Compliant,9.0,No
CNT-70184,04/27/2023,102,273,Resolved,1.0,47.61,Phone,Demande d'information,Yes,No,Compliant,,No
CNT-70185,01/25/2023,103,296,Pending,4.0,17.19,Chat,Changement d'offre,No,No,Compliant,,No
CNT-70186,12/26/2023,103,258,Unresolved,3.0,27.48,Social Media,Litige paiement,Yes,No,Compliant,1.0,No
CNT-70187,10/04/2023,107,201,Unresolved,5.0,22.59,phone,Relevé compteur,Yes,No,Non-compliant,7.0,No
CNT-70188,11/15/2023,107,162,resolved,1.0,39.11,Chat,Réclamation,Yes,No,Non-compliant,,No
CNT-70189,12/21/2023,102,306,Resolved,,38.81,Email,Facturation,No,No,Compliant,,Yes
CNT-70190,07/01/2023,101,335,Resolved,5.0,15.85,phone,Relevé compteur,Yes,Yes,Compliant,,No
CNT-70191,08/26/2023,106,246,resolved,4.0,19.96,Social Media,Relevé compteur,Yes,No,Compliant,,No
CNT-70192,01/27/2023,102,109,Unresolved,4.0,15.72,Email,Changement d'offre,Yes,Yes,Compliant,7.0,No
CNT-70193,12/06/2023,109,359,Unresolved,5.0,10.65,Email,Relevé compteur,Yes,No,Non-compliant,,No
CNT-70194,10/16/2023,105,242,Pending,2.0,19.13,Social Media,Réclamation,Yes,No,Compliant,,No
CNT-70195,11/14/2023,107,135,Resolved,4.0,19.62,phone,Panne compteur,Yes,Yes,Non-compliant,,No
CNT-70196,04/19/2023,101,264,resolved,5.0,38.9,phone,Résiliation,Yes,Yes,Compliant,8.0,No
CNT-70197,01/14/2023,109,366,Pending,3.0,10.46,Phone,Résiliation,Yes,No,Compliant,9.0,Yes
CNT-70198,05/12/2023,106,225,resolved,4.0,16.64,phone,Litige paiement,Yes,No,N/A,8.0,No
CNT-70199,09/10/2023,105,34,resolved,5.0,13.93,Phone,Réclamation,Yes,No,Compliant,,No
CNT-70200,05/31/2023,107,237,Resolved,4.0,48.29,phone,Panne compteur,Yes,No,Compliant,,No
CNT-70201,03/23/2023,107,197,Unresolved,,12.41,Email,Réclamation,Yes,No,Compliant,9.0,No
CNT-70202,10/03/2023,108,281,Resolved,5.0,49.11,Phone,Litige paiement,Yes,No,Compliant,8.0,No
CNT-70203,02/14/2023,108,266,Unresolved,5.0,28.32,Chat,Souscription contrat,Yes,No,N/A,,No
CNT-70204,05/31/2023,105,217,resolved,,45.47,phone,Changement d'offre,Yes,No,Compliant,,No
CNT-70205,11/21/2023,104,211,Unresolved,3.0,46.38,phone,Relevé compteur,Yes,No,Non-compliant,5.0,No
CNT-70206,02/15/2023,102,398,Unresolved,3.0,39.34,phone,Relevé compteur,Yes,No,Compliant,2.0,No
CNT-70207,08/08/2023,105,315,Pending,4.0,36.13,Email,Déménagement,Yes,Yes,Compliant,,No
CNT-70208,06/22/2023,109,312,resolved,5.0,30.89,phone,Litige paiement,Yes,No,Compliant,7.0,No
CNT-70209,11/19/2023,103,352,resolved,4.0,18.72,Phone,Litige paiement,Yes,No,Compliant,,No
CNT-70210,02/23/2023,107,241,Pending,2.0,21.09,phone,Déménagement,Yes,No,Non-compliant,8.0,No
CNT-70211,06/26/2023,107,427,resolved,2.0,41.88,Phone,Résiliation,Yes,No,N/A,,No
CNT-70212,10/21/2023,105,297,Unresolved,5.0,15.78,Chat,Demande d'information,Yes,Yes,Compliant,8.0,No
CNT-70213,05/07/2023,106,276,Unresolved,4.0,35.62,phone,Souscription contrat,Yes,No,Compliant,,No
CNT-70214,01/06/2023,106,296,resolved,3.0,13.08,Social Media,Facturation,Yes,No,Compliant,,No
CNT-70215,11/18/2023,103,237,Pending,5.0,35.9,phone,Panne compteur,Yes,No,Compliant,0.0,No
CNT-70216,01/28/2023,105,201,Resolved,4.0,48.12,Social Media,Réclamation,Yes,No,Compliant,,No
CNT-70217,12/07/2023,102,377,Pending,3.0,43.88,Email,Souscription contrat,No,No,Non-compliant,,No
CNT-70218,09/15/2023,107,154,resolved,4.0,45.49,Social Media,Souscription contrat,Yes,No,Compliant,,No
CNT-70219,12/03/2023,104,162,Pending,4.0,48.65,Chat,Panne compteur,Yes,No,Compliant,,No
CNT-70220,03/16/2023,108,254,resolved,4.0,31.48,Phone,Souscription contrat,Yes,Yes,Compliant,,Yes
CNT-70221,08/10/2023,106,182,Pending,,12.81,Chat,Déménagement,No,No,Compliant,6.0,No
CNT-70222,02/10/2023,104,109,Resolved,4.0,30.98,Phone,Litige paiement,Yes,No,Compliant,,No
CNT-70223,12/10/2023,105,159,resolved,5.0,36.11,Phone,Facturation,Yes,No,Compliant,,No
CNT-70224,09/24/2023,101,185,Resolved,5.0,42.33,Social Media,Déménagement,Yes,No,N/A,,No
CNT-70225,04/06/2023,103,301,Pending,3.0,36.82,phone,Litige paiement,No,Yes,Compliant,7.0,No
CNT-70226,04/03/2023,106,247,Pending,4.0,45.65,Chat,Litige paiement,Yes,No,Compliant,8.0,Yes
CNT-70227,12/02/2023,102,357,Pending,5.0,44.5,Email,Demande d'information,yes,No,Compliant,,No
CNT-70228,06/18/2023,108,56,Pending,3.0,47.25,Chat,Panne compteur,Yes,Yes,N/A,10.0,Yes
CNT-70229,04/23/2023,104,154,Unresolved,5.0,38.32,Phone,Souscription contrat,Yes,No,Compliant,,No
CNT-70230,10/06/2023,102,168,Resolved,2.0,20.95,Chat,Panne compteur,Yes,No,Compliant,,No
CNT-70231,11/24/2023,104,285,resolved,5.0,,Social Media,Litige paiement,Yes,No,Compliant,,No
CNT-70232,07/05/2023,101,287,resolved,,39.09,phone,Déménagement,Yes,Yes,Compliant,0.0,No
CNT-70233,12/30/2023,106,206,Unresolved,4.0,20.7,Email,Changement d'offre,Yes,No,Compliant,6.0,No
CNT-70234,01/29/2023,104,231,Pending,4.0,9.89,phone,Souscription contrat,No,No,N/A,6.0,No
CNT-70235,10/21/2023,101,73,Unresolved,3.0,41.36,phone,Déménagement,Yes,No,Non-compliant,8.0,No
CNT-70236,07/28/2023,101,344,Resolved,5.0,41.91,Phone,Relevé compteur,Yes,No,Compliant,,No
CNT-70237,10/05/2023,102,216,Resolved,5.0,36.12,Phone,Réclamation,yes,No,Compliant,,No
CNT-70238,08/07/2023,109,278,resolved,4.0,27.24,phone,Souscription contrat,No,No,N/A,8.0,No
CNT-70239,03/16/2023,109,56,Unresolved,3.0,22.89,Phone,Relevé compteur,Yes,No,Non-compliant,,No
CNT-70240,03/25/2023,106,254,Resolved,4.0,43.14,phone,Facturation,No,No,Non-compliant,,No
CNT-70241,05/09/2023,109,380,Pending,5.0,13.31,Phone,Relevé compteur,Yes,No,Compliant,2.0,No
